sample	CMS	phenotype	images.per.sample	cells.count.sum	cells.count.median	cells.count.mean	group	category
NIC13	CMS1	Prol_HLA-DR+_tum	3	483	146	161	Tumour_cells	HLA-DR+_tumour_cells
NIC13	CMS1	Prol_HLA-DR+_tum	3	483	146	161	Tumour_cells	Proliferating_tumor_cells
NIC15	CMS4	Prol_HLA-DR+_tum	3	3	1	1	Tumour_cells	HLA-DR+_tumour_cells
NIC15	CMS4	Prol_HLA-DR+_tum	3	3	1	1	Tumour_cells	Proliferating_tumor_cells
NIC16	CMS2	Prol_HLA-DR+_tum	3	12	3	4	Tumour_cells	HLA-DR+_tumour_cells
NIC16	CMS2	Prol_HLA-DR+_tum	3	12	3	4	Tumour_cells	Proliferating_tumor_cells
NIC17	CMS2	Prol_HLA-DR+_tum	3	23	7	7.66666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC17	CMS2	Prol_HLA-DR+_tum	3	23	7	7.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC18	CMS3	Prol_HLA-DR+_tum	3	7	2	2.33333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC18	CMS3	Prol_HLA-DR+_tum	3	7	2	2.33333333333333	Tumour_cells	Proliferating_tumor_cells
NIC19	CMS3	Prol_HLA-DR+_tum	2	4	2	2	Tumour_cells	HLA-DR+_tumour_cells
NIC19	CMS3	Prol_HLA-DR+_tum	2	4	2	2	Tumour_cells	Proliferating_tumor_cells
NIC20	CMS2	Prol_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	HLA-DR+_tumour_cells
NIC20	CMS2	Prol_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	Proliferating_tumor_cells
NIC21	CMS2	Prol_HLA-DR+_tum	1	2	2	2	Tumour_cells	HLA-DR+_tumour_cells
NIC21	CMS2	Prol_HLA-DR+_tum	1	2	2	2	Tumour_cells	Proliferating_tumor_cells
NIC22	CMS2	Prol_HLA-DR+_tum	3	12	4	4	Tumour_cells	HLA-DR+_tumour_cells
NIC22	CMS2	Prol_HLA-DR+_tum	3	12	4	4	Tumour_cells	Proliferating_tumor_cells
NIC23	CMS3	Prol_HLA-DR+_tum	3	5	0	1.66666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC23	CMS3	Prol_HLA-DR+_tum	3	5	0	1.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC24	CMS4	Prol_HLA-DR+_tum	3	18	6	6	Tumour_cells	HLA-DR+_tumour_cells
NIC24	CMS4	Prol_HLA-DR+_tum	3	18	6	6	Tumour_cells	Proliferating_tumor_cells
NIC25	CMS4	Prol_HLA-DR+_tum	3	47	15	15.6666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC25	CMS4	Prol_HLA-DR+_tum	3	47	15	15.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC27	CMS2	Prol_HLA-DR+_tum	3	37	13	12.3333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC27	CMS2	Prol_HLA-DR+_tum	3	37	13	12.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC29	CMS4	Prol_HLA-DR+_tum	3	12	3	4	Tumour_cells	HLA-DR+_tumour_cells
NIC29	CMS4	Prol_HLA-DR+_tum	3	12	3	4	Tumour_cells	Proliferating_tumor_cells
NIC03	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	31	13	10.3333333333333	Tumour_cells	Bcat+_tumour_cells
NIC03	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	31	13	10.3333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC03	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	31	13	10.3333333333333	Tumour_cells	IDO+_tumor_cells
NIC03	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	31	13	10.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC04	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	Bcat+_tumour_cells
NIC04	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	HLA-DR+_tumour_cells
NIC04	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	IDO+_tumor_cells
NIC04	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	Proliferating_tumor_cells
NIC05	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	2	1	1	Tumour_cells	Bcat+_tumour_cells
NIC05	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	2	1	1	Tumour_cells	HLA-DR+_tumour_cells
NIC05	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	2	1	1	Tumour_cells	IDO+_tumor_cells
NIC05	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	2	1	1	Tumour_cells	Proliferating_tumor_cells
NIC06	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	1	0.5	0.5	Tumour_cells	Bcat+_tumour_cells
NIC06	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	1	0.5	0.5	Tumour_cells	HLA-DR+_tumour_cells
NIC06	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	1	0.5	0.5	Tumour_cells	IDO+_tumor_cells
NIC06	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	1	0.5	0.5	Tumour_cells	Proliferating_tumor_cells
NIC07	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	1	0.666666666666667	Tumour_cells	Bcat+_tumour_cells
NIC07	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	1	0.666666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC07	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	1	0.666666666666667	Tumour_cells	IDO+_tumor_cells
NIC07	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	1	0.666666666666667	Tumour_cells	Proliferating_tumor_cells
S52	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	364	134	121.333333333333	Tumour_cells	Bcat+_tumour_cells
S52	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	364	134	121.333333333333	Tumour_cells	HLA-DR+_tumour_cells
S52	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	364	134	121.333333333333	Tumour_cells	IDO+_tumor_cells
S52	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	364	134	121.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC12	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	278	81	92.6666666666667	Tumour_cells	Bcat+_tumour_cells
NIC12	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	278	81	92.6666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC12	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	278	81	92.6666666666667	Tumour_cells	IDO+_tumor_cells
NIC12	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	278	81	92.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC13	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	961	387	320.333333333333	Tumour_cells	Bcat+_tumour_cells
NIC13	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	961	387	320.333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC13	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	961	387	320.333333333333	Tumour_cells	IDO+_tumor_cells
NIC13	CMS1	Prol_IDO+_Bcat+_HLA-DR+_tum	3	961	387	320.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC15	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	Bcat+_tumour_cells
NIC15	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	HLA-DR+_tumour_cells
NIC15	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	IDO+_tumor_cells
NIC15	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	Proliferating_tumor_cells
NIC16	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	7	3	2.33333333333333	Tumour_cells	Bcat+_tumour_cells
NIC16	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	7	3	2.33333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC16	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	7	3	2.33333333333333	Tumour_cells	IDO+_tumor_cells
NIC16	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	7	3	2.33333333333333	Tumour_cells	Proliferating_tumor_cells
NIC17	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	1	0	0.333333333333333	Tumour_cells	Bcat+_tumour_cells
NIC17	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	1	0	0.333333333333333	Tumour_cells	HLA-DR+_tumour_cells
NIC17	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	1	0	0.333333333333333	Tumour_cells	IDO+_tumor_cells
NIC17	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	1	0	0.333333333333333	Tumour_cells	Proliferating_tumor_cells
NIC18	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	39	5	13	Tumour_cells	Bcat+_tumour_cells
NIC18	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	39	5	13	Tumour_cells	HLA-DR+_tumour_cells
NIC18	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	39	5	13	Tumour_cells	IDO+_tumor_cells
NIC18	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	39	5	13	Tumour_cells	Proliferating_tumor_cells
NIC19	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	5	2.5	2.5	Tumour_cells	Bcat+_tumour_cells
NIC19	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	5	2.5	2.5	Tumour_cells	HLA-DR+_tumour_cells
NIC19	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	5	2.5	2.5	Tumour_cells	IDO+_tumor_cells
NIC19	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	2	5	2.5	2.5	Tumour_cells	Proliferating_tumor_cells
NIC20	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	Bcat+_tumour_cells
NIC20	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	HLA-DR+_tumour_cells
NIC20	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	IDO+_tumor_cells
NIC20	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	2	3	1.5	1.5	Tumour_cells	Proliferating_tumor_cells
NIC21	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	1	19	19	19	Tumour_cells	Bcat+_tumour_cells
NIC21	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	1	19	19	19	Tumour_cells	HLA-DR+_tumour_cells
NIC21	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	1	19	19	19	Tumour_cells	IDO+_tumor_cells
NIC21	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	1	19	19	19	Tumour_cells	Proliferating_tumor_cells
NIC22	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	140	48	46.6666666666667	Tumour_cells	Bcat+_tumour_cells
NIC22	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	140	48	46.6666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC22	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	140	48	46.6666666666667	Tumour_cells	IDO+_tumor_cells
NIC22	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	140	48	46.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC23	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	Bcat+_tumour_cells
NIC23	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	HLA-DR+_tumour_cells
NIC23	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	IDO+_tumor_cells
NIC23	CMS3	Prol_IDO+_Bcat+_HLA-DR+_tum	3	3	1	1	Tumour_cells	Proliferating_tumor_cells
NIC24	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	41	14	13.6666666666667	Tumour_cells	Bcat+_tumour_cells
NIC24	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	41	14	13.6666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC24	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	41	14	13.6666666666667	Tumour_cells	IDO+_tumor_cells
NIC24	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	41	14	13.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC25	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	0	0.666666666666667	Tumour_cells	Bcat+_tumour_cells
NIC25	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	0	0.666666666666667	Tumour_cells	HLA-DR+_tumour_cells
NIC25	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	0	0.666666666666667	Tumour_cells	IDO+_tumor_cells
NIC25	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	2	0	0.666666666666667	Tumour_cells	Proliferating_tumor_cells
NIC27	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	51	10	17	Tumour_cells	Bcat+_tumour_cells
NIC27	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	51	10	17	Tumour_cells	HLA-DR+_tumour_cells
NIC27	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	51	10	17	Tumour_cells	IDO+_tumor_cells
NIC27	CMS2	Prol_IDO+_Bcat+_HLA-DR+_tum	3	51	10	17	Tumour_cells	Proliferating_tumor_cells
NIC29	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	Bcat+_tumour_cells
NIC29	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	HLA-DR+_tumour_cells
NIC29	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	IDO+_tumor_cells
NIC29	CMS4	Prol_IDO+_Bcat+_HLA-DR+_tum	3	0	0	0	Tumour_cells	Proliferating_tumor_cells
NIC03	CMS4	Prol_Tcells	3	9	3	3	T_cells	Proliferating_Tcells
NIC04	CMS4	Prol_Tcells	3	14	7	4.66666666666667	T_cells	Proliferating_Tcells
NIC05	CMS2	Prol_Tcells	2	19	9.5	9.5	T_cells	Proliferating_Tcells
NIC06	CMS3	Prol_Tcells	2	2	1	1	T_cells	Proliferating_Tcells
NIC07	CMS2	Prol_Tcells	3	39	13	13	T_cells	Proliferating_Tcells
S52	CMS1	Prol_Tcells	3	33	8	11	T_cells	Proliferating_Tcells
NIC12	CMS1	Prol_Tcells	3	77	16	25.6666666666667	T_cells	Proliferating_Tcells
NIC13	CMS1	Prol_Tcells	3	229	60	76.3333333333333	T_cells	Proliferating_Tcells
NIC15	CMS4	Prol_Tcells	3	28	9	9.33333333333333	T_cells	Proliferating_Tcells
NIC16	CMS2	Prol_Tcells	3	1	0	0.333333333333333	T_cells	Proliferating_Tcells
NIC17	CMS2	Prol_Tcells	3	67	21	22.3333333333333	T_cells	Proliferating_Tcells
NIC18	CMS3	Prol_Tcells	3	7	2	2.33333333333333	T_cells	Proliferating_Tcells
NIC19	CMS3	Prol_Tcells	2	2	1	1	T_cells	Proliferating_Tcells
NIC20	CMS2	Prol_Tcells	2	6	3	3	T_cells	Proliferating_Tcells
NIC21	CMS2	Prol_Tcells	1	8	8	8	T_cells	Proliferating_Tcells
NIC22	CMS2	Prol_Tcells	3	13	4	4.33333333333333	T_cells	Proliferating_Tcells
NIC23	CMS3	Prol_Tcells	3	6	0	2	T_cells	Proliferating_Tcells
NIC24	CMS4	Prol_Tcells	3	55	16	18.3333333333333	T_cells	Proliferating_Tcells
NIC25	CMS4	Prol_Tcells	3	18	5	6	T_cells	Proliferating_Tcells
NIC27	CMS2	Prol_Tcells	3	45	20	15	T_cells	Proliferating_Tcells
NIC29	CMS4	Prol_Tcells	3	16	7	5.33333333333333	T_cells	Proliferating_Tcells
NIC03	CMS4	Prol_TGFb+_Bcat+_tum	3	40	14	13.3333333333333	Tumour_cells	Bcat+_tumour_cells
NIC03	CMS4	Prol_TGFb+_Bcat+_tum	3	40	14	13.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC03	CMS4	Prol_TGFb+_Bcat+_tum	3	40	14	13.3333333333333	Tumour_cells	TGFB+_tumour_cells
NIC04	CMS4	Prol_TGFb+_Bcat+_tum	3	322	100	107.333333333333	Tumour_cells	Bcat+_tumour_cells
NIC04	CMS4	Prol_TGFb+_Bcat+_tum	3	322	100	107.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC04	CMS4	Prol_TGFb+_Bcat+_tum	3	322	100	107.333333333333	Tumour_cells	TGFB+_tumour_cells
NIC05	CMS2	Prol_TGFb+_Bcat+_tum	2	347	173.5	173.5	Tumour_cells	Bcat+_tumour_cells
NIC05	CMS2	Prol_TGFb+_Bcat+_tum	2	347	173.5	173.5	Tumour_cells	Proliferating_tumor_cells
NIC05	CMS2	Prol_TGFb+_Bcat+_tum	2	347	173.5	173.5	Tumour_cells	TGFB+_tumour_cells
NIC06	CMS3	Prol_TGFb+_Bcat+_tum	2	745	372.5	372.5	Tumour_cells	Bcat+_tumour_cells
NIC06	CMS3	Prol_TGFb+_Bcat+_tum	2	745	372.5	372.5	Tumour_cells	Proliferating_tumor_cells
NIC06	CMS3	Prol_TGFb+_Bcat+_tum	2	745	372.5	372.5	Tumour_cells	TGFB+_tumour_cells
NIC07	CMS2	Prol_TGFb+_Bcat+_tum	3	275	109	91.6666666666667	Tumour_cells	Bcat+_tumour_cells
NIC07	CMS2	Prol_TGFb+_Bcat+_tum	3	275	109	91.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC07	CMS2	Prol_TGFb+_Bcat+_tum	3	275	109	91.6666666666667	Tumour_cells	TGFB+_tumour_cells
S52	CMS1	Prol_TGFb+_Bcat+_tum	3	3	1	1	Tumour_cells	Bcat+_tumour_cells
S52	CMS1	Prol_TGFb+_Bcat+_tum	3	3	1	1	Tumour_cells	Proliferating_tumor_cells
S52	CMS1	Prol_TGFb+_Bcat+_tum	3	3	1	1	Tumour_cells	TGFB+_tumour_cells
NIC12	CMS1	Prol_TGFb+_Bcat+_tum	3	312	13	104	Tumour_cells	Bcat+_tumour_cells
NIC12	CMS1	Prol_TGFb+_Bcat+_tum	3	312	13	104	Tumour_cells	Proliferating_tumor_cells
NIC12	CMS1	Prol_TGFb+_Bcat+_tum	3	312	13	104	Tumour_cells	TGFB+_tumour_cells
NIC13	CMS1	Prol_TGFb+_Bcat+_tum	3	29	3	9.66666666666667	Tumour_cells	Bcat+_tumour_cells
NIC13	CMS1	Prol_TGFb+_Bcat+_tum	3	29	3	9.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC13	CMS1	Prol_TGFb+_Bcat+_tum	3	29	3	9.66666666666667	Tumour_cells	TGFB+_tumour_cells
NIC15	CMS4	Prol_TGFb+_Bcat+_tum	3	424	68	141.333333333333	Tumour_cells	Bcat+_tumour_cells
NIC15	CMS4	Prol_TGFb+_Bcat+_tum	3	424	68	141.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC15	CMS4	Prol_TGFb+_Bcat+_tum	3	424	68	141.333333333333	Tumour_cells	TGFB+_tumour_cells
NIC16	CMS2	Prol_TGFb+_Bcat+_tum	3	410	154	136.666666666667	Tumour_cells	Bcat+_tumour_cells
NIC16	CMS2	Prol_TGFb+_Bcat+_tum	3	410	154	136.666666666667	Tumour_cells	Proliferating_tumor_cells
NIC16	CMS2	Prol_TGFb+_Bcat+_tum	3	410	154	136.666666666667	Tumour_cells	TGFB+_tumour_cells
NIC17	CMS2	Prol_TGFb+_Bcat+_tum	3	296	101	98.6666666666667	Tumour_cells	Bcat+_tumour_cells
NIC17	CMS2	Prol_TGFb+_Bcat+_tum	3	296	101	98.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC17	CMS2	Prol_TGFb+_Bcat+_tum	3	296	101	98.6666666666667	Tumour_cells	TGFB+_tumour_cells
NIC18	CMS3	Prol_TGFb+_Bcat+_tum	3	843	235	281	Tumour_cells	Bcat+_tumour_cells
NIC18	CMS3	Prol_TGFb+_Bcat+_tum	3	843	235	281	Tumour_cells	Proliferating_tumor_cells
NIC18	CMS3	Prol_TGFb+_Bcat+_tum	3	843	235	281	Tumour_cells	TGFB+_tumour_cells
NIC19	CMS3	Prol_TGFb+_Bcat+_tum	2	247	123.5	123.5	Tumour_cells	Bcat+_tumour_cells
NIC19	CMS3	Prol_TGFb+_Bcat+_tum	2	247	123.5	123.5	Tumour_cells	Proliferating_tumor_cells
NIC19	CMS3	Prol_TGFb+_Bcat+_tum	2	247	123.5	123.5	Tumour_cells	TGFB+_tumour_cells
NIC20	CMS2	Prol_TGFb+_Bcat+_tum	2	518	259	259	Tumour_cells	Bcat+_tumour_cells
NIC20	CMS2	Prol_TGFb+_Bcat+_tum	2	518	259	259	Tumour_cells	Proliferating_tumor_cells
NIC20	CMS2	Prol_TGFb+_Bcat+_tum	2	518	259	259	Tumour_cells	TGFB+_tumour_cells
NIC21	CMS2	Prol_TGFb+_Bcat+_tum	1	176	176	176	Tumour_cells	Bcat+_tumour_cells
NIC21	CMS2	Prol_TGFb+_Bcat+_tum	1	176	176	176	Tumour_cells	Proliferating_tumor_cells
NIC21	CMS2	Prol_TGFb+_Bcat+_tum	1	176	176	176	Tumour_cells	TGFB+_tumour_cells
NIC22	CMS2	Prol_TGFb+_Bcat+_tum	3	736	310	245.333333333333	Tumour_cells	Bcat+_tumour_cells
NIC22	CMS2	Prol_TGFb+_Bcat+_tum	3	736	310	245.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC22	CMS2	Prol_TGFb+_Bcat+_tum	3	736	310	245.333333333333	Tumour_cells	TGFB+_tumour_cells
NIC23	CMS3	Prol_TGFb+_Bcat+_tum	3	159	37	53	Tumour_cells	Bcat+_tumour_cells
NIC23	CMS3	Prol_TGFb+_Bcat+_tum	3	159	37	53	Tumour_cells	Proliferating_tumor_cells
NIC23	CMS3	Prol_TGFb+_Bcat+_tum	3	159	37	53	Tumour_cells	TGFB+_tumour_cells
NIC24	CMS4	Prol_TGFb+_Bcat+_tum	3	193	30	64.3333333333333	Tumour_cells	Bcat+_tumour_cells
NIC24	CMS4	Prol_TGFb+_Bcat+_tum	3	193	30	64.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC24	CMS4	Prol_TGFb+_Bcat+_tum	3	193	30	64.3333333333333	Tumour_cells	TGFB+_tumour_cells
NIC25	CMS4	Prol_TGFb+_Bcat+_tum	3	672	206	224	Tumour_cells	Bcat+_tumour_cells
NIC25	CMS4	Prol_TGFb+_Bcat+_tum	3	672	206	224	Tumour_cells	Proliferating_tumor_cells
NIC25	CMS4	Prol_TGFb+_Bcat+_tum	3	672	206	224	Tumour_cells	TGFB+_tumour_cells
NIC27	CMS2	Prol_TGFb+_Bcat+_tum	3	640	248	213.333333333333	Tumour_cells	Bcat+_tumour_cells
NIC27	CMS2	Prol_TGFb+_Bcat+_tum	3	640	248	213.333333333333	Tumour_cells	Proliferating_tumor_cells
NIC27	CMS2	Prol_TGFb+_Bcat+_tum	3	640	248	213.333333333333	Tumour_cells	TGFB+_tumour_cells
NIC29	CMS4	Prol_TGFb+_Bcat+_tum	3	468	127	156	Tumour_cells	Bcat+_tumour_cells
NIC29	CMS4	Prol_TGFb+_Bcat+_tum	3	468	127	156	Tumour_cells	Proliferating_tumor_cells
NIC29	CMS4	Prol_TGFb+_Bcat+_tum	3	468	127	156	Tumour_cells	TGFB+_tumour_cells
NIC03	CMS4	Prol_TGFb+_tum	3	11	4	3.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC03	CMS4	Prol_TGFb+_tum	3	11	4	3.66666666666667	Tumour_cells	TGFB+_tumour_cells
NIC04	CMS4	Prol_TGFb+_tum	3	15	6	5	Tumour_cells	Proliferating_tumor_cells
NIC04	CMS4	Prol_TGFb+_tum	3	15	6	5	Tumour_cells	TGFB+_tumour_cells
NIC05	CMS2	Prol_TGFb+_tum	2	28	14	14	Tumour_cells	Proliferating_tumor_cells
NIC05	CMS2	Prol_TGFb+_tum	2	28	14	14	Tumour_cells	TGFB+_tumour_cells
NIC06	CMS3	Prol_TGFb+_tum	2	16	8	8	Tumour_cells	Proliferating_tumor_cells
NIC06	CMS3	Prol_TGFb+_tum	2	16	8	8	Tumour_cells	TGFB+_tumour_cells
NIC07	CMS2	Prol_TGFb+_tum	3	8	3	2.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC07	CMS2	Prol_TGFb+_tum	3	8	3	2.66666666666667	Tumour_cells	TGFB+_tumour_cells
S52	CMS1	Prol_TGFb+_tum	3	1	0	0.333333333333333	Tumour_cells	Proliferating_tumor_cells
S52	CMS1	Prol_TGFb+_tum	3	1	0	0.333333333333333	Tumour_cells	TGFB+_tumour_cells
NIC12	CMS1	Prol_TGFb+_tum	3	1	0	0.333333333333333	Tumour_cells	Proliferating_tumor_cells
NIC12	CMS1	Prol_TGFb+_tum	3	1	0	0.333333333333333	Tumour_cells	TGFB+_tumour_cells
NIC13	CMS1	Prol_TGFb+_tum	3	35	5	11.6666666666667	Tumour_cells	Proliferating_tumor_cells
NIC13	CMS1	Prol_TGFb+_tum	3	35	5	11.6666666666667	Tumour_cells	TGFB+_tumour_cells
NIC15	CMS4	Prol_TGFb+_tum	3	160	14	53.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC15	CMS4	Prol_TGFb+_tum	3	160	14	53.3333333333333	Tumour_cells	TGFB+_tumour_cells
NIC16	CMS2	Prol_TGFb+_tum	3	51	18	17	Tumour_cells	Proliferating_tumor_cells
NIC16	CMS2	Prol_TGFb+_tum	3	51	18	17	Tumour_cells	TGFB+_tumour_cells
NIC17	CMS2	Prol_TGFb+_tum	3	49	13	16.3333333333333	Tumour_cells	Proliferating_tumor_cells
NIC17	CMS2	Prol_TGFb+_tum	3	49	13	16.3333333333333	Tumour_cells	TGFB+_tumour_cells
NIC18	CMS3	Prol_TGFb+_tum	3	15	7	5	Tumour_cells	Proliferating_tumor_cells
NIC18	CMS3	Prol_TGFb+_tum	3	15	7	5	Tumour_cells	TGFB+_tumour_cells
NIC19	CMS3	Prol_TGFb+_tum	2	34	17	17	Tumour_cells	Proliferating_tumor_cells
NIC19	CMS3	Prol_TGFb+_tum	2	34	17	17	Tumour_cells	TGFB+_tumour_cells
NIC20	CMS2	Prol_TGFb+_tum	2	21	10.5	10.5	Tumour_cells	Proliferating_tumor_cells
NIC20	CMS2	Prol_TGFb+_tum	2	21	10.5	10.5	Tumour_cells	TGFB+_tumour_cells
NIC21	CMS2	Prol_TGFb+_tum	1	46	46	46	Tumour_cells	Proliferating_tumor_cells
NIC21	CMS2	Prol_TGFb+_tum	1	46	46	46	Tumour_cells	TGFB+_tumour_cells
NIC22	CMS2	Prol_TGFb+_tum	3	8	3	2.66666666666667	Tumour_cells	Proliferating_tumor_cells
NIC22	CMS2	Prol_TGFb+_tum	3	8	3	2.66666666666667	Tumour_cells	TGFB+_tumour_cells
