"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Bcells",0.187073370831652,0.0914689331049775,0.764124538646773,0,0.129069099879117,0.360621254147184,0.249978670289477,0.331005947679795,0.0536887322941358,0.282907735717033,0.30566183159993,0.366253987372789,0,0.327050063731657,0.105460017199209,0.249796647894638,0.235086663761702,0,0.196221798671272,0.259685740135857,0.079965081127098,0.119198525004945,0.477920618280779
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer cells",0.286836122512948,0.111671007688137,0.0122659197085171,0,0.166846534262055,0.176458599184391,0.256256275201545,0.263297164205786,0.393652818799453,0.233951966375917,0.201304148438168,0.152050542600533,0.178923011644139,0.0533297787824097,0.0612611260794343,0.340088586474748,0,0,0.134484332534899,0.17420281645977,0.507969370788941,0.523428878330584,0.110038147136154
"Macro/mono Lineage",0,0,0.00576428403794939,0,0.0191963650102953,0,0,0,0.0255824876515831,0,0,0,0.0848160013917204,0,0.0336170711297179,0,0,0,0.0050180472928061,0.013769585912904,0,0,0.0600140803309928
"NK cells",0,0,0.00204953196557864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0,0,0,0,0.169436934222923,0,0.0910148981176109,0.0762868116681264,0.393856400198955,0.0265082905827758,0.228166500073332,0.0496202256834031,0,0,0,0.252367397875115,0,0,0,0,0.137663991611351,0.213951290744613,0
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromal cells",0.5260905066554,0.796860059206885,0.215795725641182,1,0.515451066625609,0.462920146668425,0.402750156391367,0.329410076446293,0.133219561055874,0.456632007324274,0.26486751988857,0.432075244343274,0.736260986964141,0.619620157485934,0.799661785591639,0.157747367755499,0.764913336238298,1,0.664275821501023,0.552341857491469,0.27440155647261,0.143421305919857,0.352027154252074
