"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Bcells",0.543819366646497,0.462950737922013,1.04096491916548,0.41465429982745,0.208575019406136,0.368590646753697,0.478942051958995,0.448395964685716,0.142659389038854,0.522293281123983,0.418985529749325,0.497634606985708,-0.0442783458853811,0.458698079494462,0.210515560454819,0.348713798755902,0.382092629170466,0.478809443319892,0.293980369856894,0.361068082126695,0.358675306517575,0.373522993617779,0.848212843375941
"CD4 Tcells",-0.0512759005144605,0.374811423985515,-0.484859106217588,0.52206550009706,0.903804858001992,0.922232220975955,0.282832221584007,0.718012043817181,1.11906824892801,0.195542931129437,0.4458782867341,0.458135153604348,0.456124409315764,0.302718152842384,0.699711042194998,0.177334275164345,0.674434770719126,0.16209594363076,0.499258841529832,0.50075627149416,0.61725895577721,0.456941824750554,-0.615024283172256
"CD8 Tcells",0.264561352076798,0.0822913373742568,0.164503068660196,-0.0975564487120615,-0.168768372341355,-0.208492275887427,0.050156910337113,-0.108214494027027,-0.206565315328997,0.0663270772456002,-0.110285800170259,-0.118158981428165,0.0010577677803605,0.0146816271585453,-0.105013212319382,-0.022361790025297,-0.177831444549262,0.0795105553283071,-0.13643367886839,-0.160008770196381,-0.120569315144867,-0.0769411002995206,0.176482997196714
"Cancer cells",0.42343291282238,0.182922124520536,0.023792010060398,-0.116147987782533,0.188920447184587,0.160260126232653,0.352167560984761,0.267732533752008,0.359194418596349,0.30115762286522,0.225147789782201,0.147376222984536,0.40552763200559,0.0681109582965514,0.0746874960101734,0.416142189691326,0.000210724631951145,-0.379361226692552,0.13830658496965,0.193089389033055,0.594138576623228,0.698072870411771,0.208480260581581
"Macro/mono Lineage",-0.0965390893445673,-0.109151811569014,0.00144903116068479,-0.153790031632785,0.0108989663933065,-0.00679197457833987,-0.0666991565579836,-0.0282460867136506,0.0241997495983537,-0.0763692733166089,-0.00984510657226494,-0.0545497667505309,0.163788209053937,-0.0149970828181681,0.0317482119662456,-0.0209825056927533,-0.0474378614145963,-0.273455433953713,0.00771166662990733,0.0194839897431401,-0.0772129613041013,-0.0214078401117214,0.0732774233242926
"NK cells",-0.15516880646985,-0.107573614693505,-0.0138983904091553,-0.0975339637638712,0.0237927390842917,0.0505333823630309,-0.067520282415313,0.0241944207054264,0.038235523366816,-0.0612332961517058,0.0808565488864765,0.0754562921645036,-0.262291621019744,-0.0889328165193924,-0.107190666697752,0.046641165385395,0.0168845842912855,-0.292389110451719,0.0105256172829131,-0.00271780817170816,0.0531416198044794,0.0488670214081018,-0.0986628459703446
"Regulatory CD4 Tcells",-0.614527960873505,-0.775709199968223,-0.0293792723336054,-0.963972896608138,-0.710958772408869,-0.730264816903215,-0.559302891631961,-0.662867014757086,-0.616489525867096,-0.495005321902416,-0.369437423580455,-0.433935185796631,-1.25988171662617,-0.559536280035127,-0.821794689981599,-0.158984551696067,-0.667143504530804,-1.35927161179883,-0.6821453712435,-0.653565758123329,-0.773860778533435,-0.696953996738382,-0.140682205393669
"Stromal cells",0.685698125656708,0.889459002428421,0.297427739913586,1.49228152857488,0.54373511467991,0.443932691043647,0.529423585740382,0.340992632537433,0.139697511667709,0.54728697900649,0.318700175170877,0.428041658236231,1.53995366537564,0.819257361580745,1.0173362583725,0.213497418417149,0.818790101681835,2.58406144061785,0.868795969842693,0.741894604094369,0.34842859625991,0.217898226961418,0.547915810057741
