"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Bcells",-0.021775263273871,-0.0282379170106836,0.0390895841896576,0.0229591694393023,0.0125350279942237,0.00500835100564678,-0.00185751169683394,0.0666143807875117,-0.013333525851462,0.0229340979887111,0.00724654340986631,0.0102682803450514,0.0222511882057098,0.0101483029024672,-0.00290826362346724,-0.00356052944489862,0.0565463295258859,0.804587669433977,-0.0164717206692156,0.0255732550864626,0.00853900356092284,-0.0027620800625869,-0.00334914505249018
"CD4 Tcells",-0.0124259862602819,-0.0382228006545952,-0.00926468491456295,-0.0480825144399781,-0.0387323385498509,-0.0947842071884389,-0.0232857863383806,-0.0382554095937989,0.0164981995904082,-0.0188953975992619,-0.0111717126197784,-0.0125123196588262,-0.0427584796190132,-0.048454024654524,-0.00378771278958127,-0.0234060506237888,-0.0399589142821325,0.799449254162842,-0.0213599805157893,-0.0276512328603067,-0.00360345171539469,-0.0172191606370801,-0.0103483977286744
"CD8 Tcells",-0.0292578407655248,-0.0731948077480123,-0.0134705617267036,-0.105049038500887,-0.108120516594387,-0.16758126731957,-0.0635984211323473,-0.100365719922864,-0.0357909583486882,-0.068705269629192,-0.0405038326590534,-0.0610874706860369,-0.0886443945608426,-0.0958729585295458,-0.0509041079199011,-0.0584672612966875,-0.0790828419003051,2.44322855602895,-0.0538971820227045,-0.0637305420555841,-0.0406479333542874,-0.0379452362427174,-0.0196440249904938
"Cancer cells",0.632272617700311,0.5359804833723,0.118146145466812,0.124989487601225,0.679289555390755,0.769479039042245,0.643916332677838,0.661836157071208,0.933489791534728,0.551379287626847,0.594567361699136,0.521300484750566,0.544381022574975,0.257450907168214,0.376343204483284,0.740116126643272,0.188549064967976,0.552614984569824,0.255987765037949,0.459158030124523,0.673446892708336,0.821785303579174,0.326181155066852
"Macro/mono Lineage",0.11375024830466,0.209312301129055,0.379668957523058,0.236424729392736,0.177656117500157,-0.0215149632815231,0.18370387040329,0.114283057155104,0.0131202870211657,0.0840705762770555,0.100157260440581,0.131656945415833,0.255783291033433,0.408086614492498,0.2608235464004,0.18978910481158,0.201749542256425,-1.71510632748693,0.301944585861984,0.12484379980789,0.0809780541903316,0.0918213381147439,0.382822443357952
"NK cells",-0.080114394916958,-0.125593897649391,-0.0459705255056216,-0.123221379519629,-0.170744812308528,-0.243478847999637,-0.0818329633096541,-0.171236037483826,-0.0502330038745387,-0.11090083602466,-0.061197697038833,-0.0844969879169385,-0.110704394402135,-0.142620083884928,-0.0860420110244587,-0.0783696429751405,-0.113649970078546,4.27112195899381,-0.0587553044208173,-0.0780795301775952,-0.0648609925768338,-0.0476017490292212,-0.0425402961789123
"Regulatory CD4 Tcells",-0.0456559731283383,-0.0888878133980958,-0.0171356826672863,-0.100282198879341,-0.0929385484679291,-0.183875707486926,-0.0527282164827158,-0.130303121283703,-0.0319740816388165,-0.0683398641622491,-0.0504696037402366,-0.0702975537101464,-0.100770927250494,-0.0865435011107837,-0.0463492442101622,-0.0635063800926411,-0.0983290984743911,1.48303033763361,-0.0468258309863014,-0.0398938138074587,-0.0414143645489767,-0.0423478108981873,-0.0238553025593992
"Stromal cells",0.443206592340002,0.608844451959422,0.548936767634647,0.992261744906572,0.54105551503556,0.936747603228202,0.395682695878803,0.597426693270369,0.168223291567204,0.608457405522749,0.461371680508318,0.565168621460497,0.520462694018368,0.697804743616602,0.552824588683887,0.297404632978305,0.884175887985088,-7.63892643333608,0.639377667714895,0.599780033882069,0.387562791735902,0.234269395175875,0.390733568085166
