Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.111275043465502,0.242154075584142,0.146590099655691,0.13175254063252,0,0,0,0,0.368228240662145,0,0,0,0.712634206485864,0.708790170039701
NIC4,0.170674228185785,0.185632461111922,0.0272202652760893,0,0.0120036964350197,0,0,0,0.604469348991184,0,0,0,0.725561931725759,0.693298768639321
NIC23,0.008852948177465,0.185662996217964,4.24651207442783e-05,0.29211675950602,0,0.0320904934014138,0,0.0564008604261996,0.424833477150193,0,0,0,0.331494991593663,0.944694974033118
NIC24,0.00648144320992727,0.170140433981119,0.0487685446848614,0,0.307653085940957,0.196864315040482,0,0,0.270092177142653,0,0,0,0.364327927520485,0.936844503639857
NIC25,0.0232069786356703,0.331876956177622,0.221038939341347,0,0,0,0,0.209413241427534,0.214463884417828,0,0,0,0.412012636658642,0.916323267380699
NIC12nova,0.0278756086052902,0.113119554158746,0.0262622928867834,0,0,0.286737106214201,0,0.165930528178533,0.380074909956447,0,0,0,0.225984958328753,0.975875401738661
NIC29,0,0.308387404562051,0.0291049025185151,0,0.100982659576919,0.390015304087684,0,0.0945193988414381,0.0769903304133923,0,0,0,0.505027431034633,0.884070755756834
NIC15,0,0.590574298629809,0.0339425358122983,0,0,0.0736910868035332,0,0,0.30179207875436,0,0,0,0.373072836800978,0.940058096385578
NIC18,0.0386309082038904,0.0943026889882912,0.0229865595273251,0,0.182756371070674,0.197245704738731,0,0.175181129948345,0.288896637522743,0,0,0,0.249264946242278,0.969644459590289
NIC17,0.0245133030420683,0.118379276196775,0.0398400045032557,0,0.6973163217083,0,0,0,0.119951094549602,0,0,0,0.407287210657623,0.922859448736066
NIC3,0.0264464113490786,0.171613202819064,0.043215674459481,0,0,0,0.664100293824883,0,0.0946244175474941,0,0,0,0.196989246199516,0.983760544939049
NIC22,0.0496044631045438,0.219944913072864,0.0273216568059827,0,0.135406469664651,0.15688093666932,0,0,0.410841560682637,0,0,0,0.412700126788886,0.910582910096127
NIC19,0.146107097825845,0.144657272731328,0.0433474299994503,0,0.117772952279404,0.0521815188598719,0,0,0.4959337283041,0,0,0,0.576535681766233,0.820520143835379
NIC20,0.128296031004738,0.0373330598764497,0.00912995511074233,0,0,0.221226847535752,0,0.175645334191132,0.428368772281186,0,0,0,0.600507119664027,0.805536942357041
NIC13,0.0545810675912368,0.148795733631682,0.0514612765118846,0,0.188432497124544,0,0,0,0.556729425140652,0,0,0,0.65137901325086,0.801875830398379
NIC7,0.237802303881704,0.00934632472919116,0.00126427390581861,0,0.113517519889002,0,0,0,0.638069577594284,0,0,0,0.715298730046458,0.710349745153753
