Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.155846771617112,0.210082846306866,0.0617574275515414,0.0982481265425001,0,0,0.239789189675849,0,0.206005785660728,0,0.0282698526454036,0,0.692774423426811,0.730454299004227
NIC4,0.243946803552225,0.217182613659505,0.0183550446528613,0,0,0,0.0573356469495651,0,0.463179891185844,0,0,0,0.711706865776574,0.746960737837127
NIC23,0.0158459125787496,0.120134277843471,0,0.116650717568376,0,0.00174649552670888,0,0.463485927492908,0.282136668989787,0,0,0,0.279090035634475,0.980011320369056
NIC24,0.00435226415269584,0.176517013291603,0.049267147586539,0,0.101323094862458,0.239799172442283,0,0.139944112631769,0.288797195032652,0,0,0,0.331511094623113,0.961010171788632
NIC25,0.0322625513521165,0.200342540026436,0.113617473959919,0,0,0,0,0.480889329915382,0.172888104746146,0,0,0,0.361967372942506,0.959421911708223
NIC12nova,0.0454614972267674,0.0825313268240343,0.0275588013708451,0,0,0.0912946653110611,0,0.494004572435571,0.259149136831721,0,0,0,0.207823071250885,1.01903608004702
NIC29,0,0.379044566064462,0.0204560771037671,0,0.0869462591327086,0.205396083500905,0,0.212402553183702,0.0957544610144549,0,0,0,0.476024217038052,0.88674219953549
NIC15,0,0.690551036475029,0.0304794826166027,0,0,0.0284282274999889,0,0,0.25054125340838,0,0,0,0.33624970880551,1.06442027533579
NIC18,0.0592944553865239,0.0649126193890527,0.019970713936729,0,0.0359401064092667,0.0902432704442074,0,0.463395686399078,0.266243148035142,0,0,0,0.223319276746578,1.01484991144817
NIC17,0.032085553100604,0.113512215766255,0.0509450929809627,0,0.526108156707716,0.00225784675134143,0,0.00914928203631098,0.26594185265681,0,0,0,0.383868036672806,0.938057051664822
NIC3,0.0250283965560817,0.293909439055034,0.04773537260998,0,0,0,0.54858970959348,0,0.0847370821854236,0,0,0,0.189637108785074,1.04556785732418
NIC22,0.0228053381013482,0.0956314987459994,0.0122225265098841,0.00170993585823793,0.0501416035321198,0.202580007070781,0,0.251126737319294,0.363782352862335,0,0,0,0.381563854915492,0.930011666573102
NIC19,0.209485386360094,0.134241796169786,0.0376602017462914,0,0.0458795854520357,0.167062575359979,0,0,0.367597966036065,0.0380724888757496,0,0,0.565920382247282,0.872794909121603
NIC20,0.151034145501949,0.0290427020357765,0.00259115901141431,0,0,0.107590554007231,0,0.42061641165039,0.28912502779324,0,0,0,0.602863194021022,0.798585359326294
NIC13,0.084199362191312,0.195280776013458,0.0411080954468716,0,0.074939374287349,0,0.152350603988139,0,0.45212178807287,0,0,0,0.637544380649243,0.770616330966271
NIC7,0.370977467329514,0.0101997982529287,0,0,0.0107862537277906,0,0.200985328441118,0,0.407051152248649,0,0,0,0.692989224976955,0.810594826897369
