"","x"
"Cancer cells",15881.651
"Stromal cells",9400.686
"Anti-Inflammatory macro/mono",7487.744
"Pro-Inflammatory macro/mono",4168.777
"Other cells",3822.079
"Bcells",3577.916
"Regulatory CD4 Tcells",3044.27
"CD4 Tcells",3009.724
"Proliferative Tcells",4863.00146412884
"NK cells",2738.16592920354
"CD8 Tcells",2447.834
