"","NIC3","NIC4","NIC5","NIC6","NIC7","S52","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC12nova","NIC22nova"
"Cancer cells",0.594122210559941,0.751123595505618,0.858264771877337,0.704573096570178,0.692795231080201,0.754520447460114,0.712325581395349,0.668460544928963,0.541823686668599,0.913187495686978,0.714048071700163,0.612197300516078,0.847150259067358,0.804173980885508,0.497862812945247,0.847003751764018,0.609072781655035,0.53777821163608,0.552872782822711,0.434965094864876,0.586334299878402,0.712325581395349,0.847003751764018
"Stromal cells",0.168986446401679,0.135513643659711,0.0659592370979806,0.181099489175383,0.170783514337593,0.0616541353383459,0.112392026578073,0.0650716526231625,0.299384803684736,0.0491339452073702,0.116988049972841,0.212137753076618,0.0998128957973518,0.109810805539302,0.291064522694891,0.0319072040753106,0.163609172482552,0.170001952362359,0.305100568615802,0.29170414150499,0.247544663735853,0.112392026578073,0.0319072040753106
"Bcells",0.0012321453018756,0.000802568218298557,0.00172961854899028,0,0.000719449107540512,7.33541169998166e-05,0.00235880398671097,0.00445906882342087,0.00132057847779174,3.45041750051756e-05,0.00196903856599674,0.013844779674474,0,6.50152785904688e-05,0.00122124974557297,0.00309778680342822,0.000598205383848454,0.0068820773135494,4.24340151065093e-05,0.0134481134095679,0.000374146478346273,0.00235880398671097,0.00309778680342822
"CD4 Tcells",0.0450417560352302,0.0274077046548957,0.0202412116679132,0.0297372901970324,0.0334372537599781,0.0334128002934165,0.0455481727574751,0.0550156836213789,0.0455438528682321,0.00648678490097302,0.0758758826724606,0.0359269551409289,0.0140328151986183,0.0172290488264742,0.0364339507429269,0.0298075930196537,0.0649052841475574,0.10284068723155,0.0134515827887635,0.0854854597627307,0.0580394724534655,0.0455481727574751,0.0298075930196537
"Regulatory CD4 Tcells",0.0148770136448684,0.00834670947030498,0.00565632011967091,0.00638530771101922,0.0122648943095002,0.00458463231248854,0.00880398671096345,0.011839596531152,0.0209360002576738,0.00106962942516045,0.00787615426398697,0.00739380706629616,0.0015831894070236,0.00286067225798063,0.00875228984327295,0.007537947888342,0.00687936191425723,0.0179617336977743,0.00148519052872783,0.019358430767913,0.0100551866055561,0.00880398671096345,0.007537947888342
"CD8 Tcells",0.0102222425044494,0.00413322632423757,0.00294502617801047,0.00602043298467526,0.0028435369488506,0.0427287731523932,0.0398338870431894,0.0735285072882711,0.00531452314233259,0.00797046442619558,0.00760456273764259,0.00610361254466058,0.00215889464594128,0.00318574865093297,0.00366374923671891,0.0302550511134822,0.0182452642073779,0.0143498633346349,0.00123058643808877,0.0209002526874813,0.00313347675615004,0.0398338870431894,0.0302550511134822
"Proliferative Tcells",0.0004107151006252,0.00056179775280899,0.000888182498130142,0.000121624908781318,0.00133611977114667,0.00121034293049697,0.00255813953488372,0.00704225352112675,0.000901858472638258,3.45041750051756e-05,0.00227457903313416,0.000347360063517268,0.000143926309729419,0.000390091671542813,0.00162833299409729,0.00044745809382852,0.000598205383848454,0.00268449824287387,0.000763812271917169,0.00192727739946036,0.000748292956692545,0.00255813953488372,0.00044745809382852
"NK cells",0.00136905033541733,0.00405296950240771,0.00411368735976066,0.00498662126003406,0.00555003597245538,0.000586832935998532,0.00186046511627907,0.00630420075035365,0.00950172319386737,0.000448554275067284,0.0031572514937534,0.013646288209607,0.00237478411053541,0.00923216955984656,0.00203541624262162,0.00120469486799986,0.00169491525423729,0.00151308082780164,0.000212170075532547,0.00625294445158251,0.00261902534842391,0.00186046511627907,0.00120469486799986
"Macro/mono Lineage",0.163738420115913,0.0680577849117176,0.0402019446522064,0.0670761371928971,0.0802699647127343,0.101228681459747,0.0743189368770764,0.108278491912172,0.0752729732341289,0.0216341177282451,0.0702064095600218,0.0984021437078205,0.0327432354634427,0.0530524673298225,0.157337675554651,0.0487385123739373,0.134396809571286,0.145987895353377,0.124840872443351,0.125958285151398,0.0911514357871105,0.0743189368770764,0.0487385123739373
