"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"A1BG",6,11,2,24,0,0,12,9,2,5,1,6,0,5,9,2,10,0,0,0,0,0,0
"A1CF",403,853,920,985,1254,1266,4392,368,5211,1720,2762,2414,31,102,1276,1420,1420,25,2315,3562,1932,1672,263
"A2M",4666,7465,23038,13481,5984,15495,33601,15225,6760,19297,11807,7435,4746,12560,16056,9386,23019,1026,15037,11031,7428,9613,4686
"A2ML1",7,1,0,1,0,1,7,0,0,1,0,0,0,1,0,3,0,3,0,0,0,0,25
"A3GALT2",0,2,0,0,0,10,5,6,16,2,2,8,2,3,0,1,8,0,7,0,0,0,0
"A4GALT",158,347,463,465,26,203,139,313,19,210,100,61,121,237,156,173,237,875,403,182,79,145,109
"A4GNT",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,35,0,20,0,0
"AAAS",942,1637,1969,580,1425,944,1723,1233,1212,556,932,869,568,761,512,576,785,874,2439,1593,1788,1815,990
"AACS",1469,3277,1377,2292,2012,1208,2525,2298,2400,769,1196,1631,1039,1400,1047,887,943,540,1934,1722,2245,2960,503
"AADAC",1,12,46,2,0,12,115,0,68,47,4,6,49,0,0,26,5,0,35,405,0,21,117
"AADACL2",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",45,179,687,167,279,82,480,222,362,82,203,293,191,97,100,150,200,46,660,384,400,463,225
"AAGAB",1773,2329,2338,1093,1110,961,3212,764,3034,1786,1749,882,1500,1349,1222,1038,1184,154,2607,2225,2424,3697,1363
"AAK1",1302,3637,3341,2733,2618,2596,2938,2125,2211,1440,1900,2949,1066,1503,1323,1921,2522,796,6371,2009,1278,3871,602
"AAMDC",220,143,201,31,57,64,477,109,267,165,173,52,172,260,119,227,254,0,459,303,301,584,239
"AAMP",3781,3261,4677,1367,2241,2087,6261,1911,4319,2519,3352,1779,1673,2769,2010,2540,2327,620,3718,5473,4531,7921,2919
"AANAT",2,0,10,0,0,0,0,5,2,0,0,6,0,1,0,0,0,1,0,0,0,0,0
"AAR2",649,842,1373,1055,990,1640,1384,1083,1799,788,955,637,559,761,764,978,1184,375,941,3200,1670,3838,538
"AARD",3,8,13,0,24,2,24,8,3,11,5,1,1,9,0,9,15,0,0,5,0,5,0
"AARS",4431,7521,10062,2771,4971,5336,6655,3936,8227,2319,3768,3427,3123,3409,3448,3137,4111,2080,7799,4454,3974,7007,3363
"AARS2",955,1505,1615,742,1621,1020,1577,2018,1431,640,908,753,663,881,880,500,985,1634,1434,1269,903,1259,312
"AARSD1",55,96,58,51,133,96,85,116,117,35,35,61,27,63,86,34,29,38,161,155,16,108,22
"AASDH",803,1465,792,236,605,493,1754,406,1207,688,868,509,481,661,602,544,747,223,642,691,832,680,297
"AASDHPPT",1046,1539,1631,973,1254,1184,2767,399,1230,931,2032,1161,830,1103,695,943,1359,70,2499,1284,1353,2151,651
"AASS",286,335,532,359,23,327,738,696,2063,745,1086,648,273,387,512,307,1005,341,1415,998,397,335,76
"AATF",998,999,2369,374,638,572,1606,623,1631,638,1205,688,631,1068,689,809,789,505,3070,1809,550,4318,994
"AATK",656,1712,276,292,275,130,649,103,1155,380,36,58,129,151,160,128,175,3282,324,1058,188,86,98
"ABAT",256,463,648,1271,1425,1608,1095,719,2160,1331,883,754,114,201,412,964,1752,87,1545,5536,208,1326,66
"ABCA1",3803,6021,6351,4444,1634,3369,7039,2514,1457,4567,6341,4926,5220,7544,9259,3564,5126,4313,2736,2484,800,3297,1140
"ABCA10",39,178,208,48,81,414,500,185,457,286,249,202,42,119,132,132,878,118,84,417,81,83,327
"ABCA12",1,0,120,2,1455,119,66,0,1,78,110,67,6,5,0,271,0,0,0,0,0,0,441
"ABCA13",507,1322,5,157,146,198,1048,38,143,518,245,163,320,17,23,130,106,435,71,404,59,46,0
"ABCA2",1322,5299,6647,2861,2941,4849,1721,6510,2047,617,1126,3770,724,978,2812,850,830,3166,930,2910,1857,3867,499
"ABCA3",325,971,2008,99,126,138,495,700,107,55,47,28,28,118,1011,662,416,1,156,165,1240,125,93
"ABCA4",10,4,13,2,57,2,44,69,3,4,4,0,8,8,3,7,12,1,7,0,0,8,0
"ABCA5",966,2097,1751,1623,1538,2444,5360,1608,3424,1908,2698,1864,1119,1486,4062,1909,2954,332,2246,2157,894,3024,325
"ABCA6",79,128,276,272,20,307,605,152,133,302,348,190,32,341,147,177,1373,419,221,163,0,43,59
"ABCA7",577,1860,2320,580,659,865,852,1589,1515,344,280,683,554,482,523,354,376,5281,1267,839,1357,884,718
"ABCA8",11,18,645,57,2,370,1068,188,3,361,171,76,1,68,60,314,1232,36,91,95,5,12,1
"ABCA9",17,70,304,41,21,231,151,75,57,74,113,107,5,143,45,47,649,256,70,235,0,31,63
"ABCB1",1816,2628,1644,369,5164,1641,3676,2359,2099,773,7066,4109,175,276,2675,776,3532,277,8429,9526,5158,1113,37
"ABCB10",1309,2080,1415,617,1750,1100,2237,905,2489,1608,1607,1226,955,1358,1340,1220,1396,474,1781,1804,1744,2408,422
"ABCB11",6,5,26,18,0,36,24,0,1,16,24,12,0,8,1,9,0,0,0,0,0,3,1
"ABCB4",46,75,167,83,151,85,262,165,212,114,159,116,44,116,170,75,370,61,57,471,230,81,22
"ABCB5",4,5,26,27,19,0,19,12,2,3,2,0,2,13,28,7,183,0,0,0,0,0,15
"ABCB6",13,33,15,8,103,56,23,36,31,29,30,60,11,9,24,11,21,61,66,18,0,49,0
"ABCB7",1352,1948,1231,921,902,992,2756,686,2109,1022,1523,1034,683,1919,815,1475,1196,159,1862,1315,640,2593,386
"ABCB8",1010,2614,2076,1156,1140,1238,1499,1284,1423,764,1031,1366,308,670,807,722,651,1232,1561,1528,595,2661,767
"ABCB9",302,262,249,283,411,251,728,461,756,297,186,291,214,325,109,321,130,251,330,214,150,253,38
"ABCC1",922,2657,3044,2409,1911,4766,1823,3527,908,1036,1162,2287,2011,1100,814,1114,1527,4258,3197,1758,1237,2616,253
"ABCC10",1129,3595,2013,1940,3021,2583,1506,2789,1516,722,1037,2108,334,868,769,821,820,3433,2896,2863,1206,1989,287
"ABCC11",63,35,17,1,2,4,203,16,163,66,8,17,45,82,17,92,11,0,77,0,0,18,0
"ABCC12",1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"ABCC2",41,127,66,318,1517,806,68,26,416,218,799,543,24,39,177,513,110,351,748,899,16,80,15
"ABCC3",2848,7833,8746,6268,6742,9890,7825,7276,12847,2928,3205,5029,1353,1411,8242,2916,2766,2149,4035,13060,3104,7543,2066
"ABCC4",1032,1933,1518,2912,1915,2746,1987,1973,3476,1741,3259,2630,387,1415,518,1516,1862,1008,3442,563,1260,5655,513
"ABCC5",1028,2194,2814,1859,1060,2570,3589,2267,2747,1752,1920,1747,568,1308,1366,1439,1992,2045,2063,2425,1569,2971,312
"ABCC6",60,164,278,340,467,718,774,211,585,337,395,639,51,119,131,424,276,228,152,894,258,273,76
"ABCC8",5,6,11,3,24,1,41,52,5,5,1,14,1,0,2,3,15,0,0,21,89,2,9
"ABCC9",178,306,646,328,51,304,544,152,104,333,287,239,346,635,438,259,1111,115,433,273,43,45,42
"ABCD1",319,869,1309,426,368,460,455,409,359,294,252,484,143,453,298,380,258,1005,603,555,285,715,330
"ABCD2",108,270,450,21,0,60,193,32,6,71,234,113,14,159,26,86,182,25,82,1,0,29,35
"ABCD3",2724,4522,2981,1354,2727,2704,8258,2117,7057,2859,5304,3190,2477,2288,2080,2713,2392,227,2664,2551,4546,4021,928
"ABCD4",880,1865,2052,837,1064,934,1718,1642,1041,558,518,746,543,542,1149,686,944,1130,2290,1552,632,721,487
"ABCE1",4391,6620,4944,2025,3291,2704,8137,1406,7677,3357,6889,3600,3173,3757,2585,3260,3148,170,6294,7013,5056,7777,1549
"ABCF1",929,775,3405,711,1398,896,2245,1758,1740,829,1355,1026,1094,1278,1067,1104,785,564,2925,3577,2343,3173,1792
"ABCF2",280,390,457,290,259,263,667,354,744,324,601,285,197,339,261,355,420,32,638,498,441,803,315
"ABCF3",985,1597,2529,653,1033,1269,2160,1358,1736,938,1175,1274,598,1069,1129,706,1053,2455,1906,1982,1577,2426,857
"ABCG1",533,1123,2221,1031,378,853,1381,1092,1734,670,1176,1036,996,952,2366,1561,774,576,622,828,907,3056,1014
"ABCG2",76,106,254,64,0,131,109,42,69,74,33,20,26,32,129,38,117,33,56,119,113,80,1
"ABCG4",5,13,27,4,14,5,6,0,2,3,4,0,2,6,3,2,1,0,9,0,0,0,21
"ABCG5",72,137,30,0,0,14,44,18,9,13,1,0,4,12,2,7,5,0,0,0,140,0,103
"ABCG8",123,296,85,2,0,26,42,52,4,14,2,4,0,9,9,17,8,0,0,0,67,0,133
"ABHD1",31,19,11,8,2,31,22,35,33,21,4,0,12,24,6,25,17,0,21,8,36,70,0
"ABHD10",939,1071,1190,494,412,622,2133,490,1849,894,1185,701,885,768,609,629,909,144,949,1054,2004,1365,1041
"ABHD11",1686,2446,1242,1608,1273,1340,2477,2279,2310,1143,1505,1993,1170,1817,2802,2236,1293,1211,2044,4622,2049,6380,1128
"ABHD12",1060,2107,3190,3557,2851,1927,2418,2326,2787,1336,2147,2298,899,1317,2265,1432,632,1880,1764,2578,960,5941,1070
"ABHD12B",108,146,35,1,2,1,263,37,0,6,4,7,0,111,466,2,14,32,19,50,0,403,13
"ABHD13",996,1507,1252,1108,1152,933,2580,375,4087,1347,2237,1710,941,991,1738,1228,1698,136,1695,1098,1022,2854,514
"ABHD14A",90,24,25,9,38,12,120,41,92,60,28,9,47,66,6,31,18,0,28,8,0,3,0
"ABHD14A-ACY1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"ABHD14B",1361,2299,1797,590,420,1142,1435,938,1873,971,1312,939,397,1206,480,700,455,23,1525,1155,2465,2757,829
"ABHD15",512,964,1149,689,464,1002,1063,683,630,275,460,376,273,471,316,284,488,192,1105,1104,189,1013,296
"ABHD16A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16B",15,0,0,0,0,2,55,0,53,45,0,0,21,33,0,63,0,0,16,0,0,2,0
"ABHD17A",1290,1812,3677,1294,1331,1828,2852,1720,1754,1597,1092,1212,1049,1359,741,1435,1083,1854,3173,2612,1409,2834,1158
"ABHD17B",534,773,780,710,682,634,2280,1038,1084,726,1071,687,1499,665,694,742,613,209,1213,741,2157,1138,252
"ABHD17C",1307,3505,2298,1009,2281,2033,3414,1760,5650,1575,1385,1408,1650,1298,1938,1179,1024,520,3163,4684,5659,5976,3084
"ABHD18",870,1452,1173,451,689,1047,2073,548,2131,950,1327,986,614,897,794,807,680,134,1117,2067,906,1283,331
"ABHD2",7949,15639,11369,6336,5368,5999,21145,7223,27371,6348,5185,4699,7067,7069,11881,5925,5413,1621,7128,14674,8078,14559,3478
"ABHD3",1016,2245,2407,618,849,1029,2646,818,780,1019,839,626,2677,1084,499,593,432,303,768,703,1312,1538,1032
"ABHD4",167,499,785,272,331,260,480,781,160,139,165,280,147,306,377,251,278,226,607,719,850,617,259
"ABHD5",771,1221,1403,430,355,671,1906,429,1263,945,1290,762,1594,1087,537,684,707,22,766,618,766,1214,740
"ABHD6",318,540,599,370,401,333,688,676,497,374,522,385,234,278,184,294,213,24,409,268,355,1236,117
"ABHD8",62,83,269,145,10,170,206,77,52,76,78,98,83,101,28,66,98,0,79,120,68,49,104
"ABI1",2450,4094,4220,2352,1161,2185,6109,1860,4648,2336,3563,2356,1929,2148,2519,2729,2440,125,3520,4280,3542,5588,1551
"ABI2",1187,2633,3735,2212,2188,1956,2732,1445,4288,1350,2661,2432,905,1377,1099,1183,2076,546,2099,2472,923,3581,468
"ABI3",203,409,1063,323,116,472,366,236,90,256,269,335,66,320,181,157,156,308,311,269,112,213,601
"ABI3BP",42,86,1657,472,141,192,751,532,42,350,248,307,42,331,66,222,1123,171,225,343,325,134,128
"ABL1",1537,4371,4794,4147,3936,4588,4672,4264,3615,1952,2389,3166,1506,2083,1932,1744,2620,2873,4829,4753,2754,3744,736
"ABL2",1413,2847,2519,2421,3321,2723,2970,1858,2297,1736,2190,1949,1742,2384,1863,2098,2867,967,3943,1610,1023,2473,583
"ABLIM1",6048,12549,6896,2968,6392,5485,16798,9055,20160,4320,7705,7468,7022,3950,6409,4606,3827,900,4262,12646,4306,11884,1280
"ABLIM2",236,742,896,1179,681,520,1142,379,1161,789,653,1045,440,594,885,490,479,255,898,2531,457,2454,86
"ABLIM3",86,148,688,283,71,142,213,132,80,122,106,98,236,111,755,67,186,596,314,351,84,102,69
"ABO",597,2513,1121,1178,1014,1358,1970,1962,3326,416,689,1747,799,783,833,435,884,375,1542,2162,1644,2195,248
"ABR",1980,3927,2804,2756,3888,2029,3963,3232,6537,1232,1101,1710,1104,1028,3048,1033,2184,3611,2314,7262,927,3625,272
"ABRA",1,0,2,0,0,0,1,3,0,0,0,0,0,0,4,8,0,1,0,0,0,0,0
"ABRACL",957,815,1538,717,938,681,4084,417,1971,1264,2019,955,669,961,566,1175,1079,10,2139,1540,447,4187,712
"ABRAXAS1",494,874,749,211,350,462,1415,404,985,410,681,532,277,601,312,420,660,57,562,619,246,776,284
"ABRAXAS2",667,1013,1216,256,415,441,1445,401,1137,561,934,494,626,717,558,571,801,94,976,996,534,1499,356
"ABT1",797,831,1413,322,1081,676,1912,1055,1488,711,1413,739,556,750,440,671,762,171,1524,1651,1120,1537,557
"ABTB1",252,1110,1770,583,455,757,674,1447,501,252,250,695,249,264,499,140,284,1110,1413,1933,485,929,658
"ABTB2",300,839,659,661,674,498,438,415,1070,169,223,492,192,235,548,330,321,1740,537,625,345,1251,106
"AC000093.1",0,0,4,0,0,19,9,5,0,4,3,0,1,1,2,9,4,0,0,0,0,0,0
"AC000120.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000120.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC001226.2",18,0,0,2,0,5,27,4,45,10,9,7,3,9,5,5,8,0,0,16,0,7,0
"AC002094.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002310.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002985.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002996.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.2",5,4,1,0,0,8,3,7,16,7,0,0,4,6,1,9,7,0,0,9,0,0,0
"AC003002.3",2,5,5,0,0,21,4,4,15,0,1,4,0,2,4,0,12,0,0,0,0,0,0
"AC003005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004076.1",0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC004080.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004223.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004593.3",17,3,2,0,0,13,54,10,33,24,3,2,2,26,1,9,19,0,0,0,0,0,0
"AC004687.2",6,48,11,11,29,57,59,31,300,45,51,119,14,29,23,34,97,0,107,170,0,26,0
"AC004691.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004805.1",2,9,3,0,0,29,21,23,9,9,4,10,6,3,13,11,4,0,0,0,0,0,0
"AC004832.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004922.1",18,73,9,41,21,61,38,38,57,25,29,68,11,25,23,28,40,0,0,21,0,23,0
"AC004997.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005020.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005041.1",68,166,11,0,0,20,70,25,19,21,12,4,0,9,0,8,7,0,0,0,0,0,0
"AC005154.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005258.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005324.3",13,67,5,0,0,5,11,1,14,1,4,0,32,7,5,0,2,0,0,0,0,0,20
"AC005324.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005520.1",5,23,2,14,0,30,15,12,9,7,3,0,8,10,10,3,11,0,17,1,18,2,0
"AC005551.1",19,48,14,28,81,30,110,83,194,63,17,13,47,16,18,52,35,0,23,33,120,33,0
"AC005670.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005697.1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC005702.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005726.1",1,0,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"AC005832.4",0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005833.1",25,77,8,0,0,25,711,285,49,54,42,15,399,7,3,38,55,0,1,43,921,73,1
"AC005837.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC005943.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC006030.1",63,11,6,0,25,5,57,4,60,26,4,4,34,65,3,33,0,0,28,11,18,72,0
"AC006059.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC006064.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC006254.1",5,48,47,6,0,25,18,32,6,7,11,30,2,9,4,10,19,0,50,10,0,0,0
"AC006486.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC006538.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC006978.2",4,4,12,0,0,44,14,10,46,12,18,23,8,4,6,6,28,0,17,9,0,0,0
"AC007040.2",2,6,1,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"AC007192.1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007326.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007375.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007731.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007846.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC007906.2",14,15,37,20,35,103,211,43,146,38,79,42,162,155,38,139,27,155,35,13,311,62,324
"AC007998.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008012.1",0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AC008073.3",1,8,0,14,0,14,6,12,5,2,4,0,0,1,0,0,11,0,0,0,0,0,0
"AC008162.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008397.1",3,14,4,5,0,0,25,9,11,5,0,0,5,0,0,1,0,0,0,0,28,0,0
"AC008397.2",5,29,11,32,0,0,17,26,27,1,0,0,7,0,0,0,0,0,0,17,0,0,0
"AC008403.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008481.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008537.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008575.1",0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
"AC008581.2",0,2,0,0,0,0,6,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0
"AC008676.3",7,3,8,5,35,2,21,9,24,17,1,5,7,3,8,13,13,0,26,1,0,0,0
"AC008687.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008687.4",12,9,38,2,0,8,6,6,4,2,0,5,6,1,9,2,0,0,0,0,0,0,6
"AC008687.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008695.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008750.8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008758.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008758.4",8,3,4,18,5,0,10,2,10,5,4,6,2,7,9,2,5,0,20,0,0,0,0
"AC008758.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008758.6",3,0,1,0,0,0,4,2,15,1,0,0,4,2,0,2,5,0,0,0,0,0,3
"AC008763.2",0,5,1,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0
"AC008763.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008764.1",0,15,0,0,0,0,6,15,8,1,6,18,2,3,5,3,9,0,0,0,0,0,0
"AC008764.4",1,0,2,0,0,16,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC008770.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008770.2",5,23,0,0,0,20,14,15,32,11,6,2,2,6,7,1,13,0,0,0,9,0,29
"AC008878.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC008878.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008878.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC008982.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009133.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009163.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009163.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009690.1",11,33,25,15,20,0,45,20,7,2,0,11,8,3,9,3,7,0,25,33,0,5,0
"AC009690.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009779.3",10,28,48,0,0,37,71,19,16,13,15,32,4,12,5,7,34,0,22,22,0,21,0
"AC009879.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC009879.3",0,1,7,0,0,0,8,0,1,0,1,0,0,0,0,3,0,0,0,0,0,7,0
"AC010132.3",0,5,9,0,0,0,4,4,7,2,1,0,0,1,0,1,2,0,0,0,0,0,0
"AC010197.2",6,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"AC010255.3",1,6,23,4,18,8,10,2,8,4,4,10,1,3,0,5,5,75,9,14,43,10,28
"AC010319.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010323.1",0,1,2,0,0,0,3,1,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0
"AC010325.1",8,2,5,1,8,0,3,16,23,8,15,14,4,3,0,2,8,0,0,0,0,0,9
"AC010326.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010327.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010422.3",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0
"AC010422.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010422.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010422.8",53,112,225,30,49,52,143,190,101,30,16,30,34,37,29,25,17,86,187,111,0,51,0
"AC010463.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010522.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010531.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010542.3",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010547.4",1,1,0,0,0,0,8,11,8,0,5,8,0,0,0,4,3,0,0,0,0,0,0
"AC010615.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010616.1",20,38,100,4,0,0,10,13,17,8,2,6,3,8,13,2,13,27,43,8,1,0,12
"AC010616.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010619.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010646.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011005.1",0,2,10,6,3,8,3,10,0,1,1,15,0,0,0,1,6,1,9,6,2,9,4
"AC011195.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC011330.3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011448.1",6,30,25,0,42,1,6,8,3,0,0,14,1,1,0,3,0,0,11,0,0,27,0
"AC011452.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011455.2",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC011462.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC011473.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011479.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011498.4",2,3,7,2,0,0,6,8,2,3,0,2,7,2,0,1,0,0,0,0,0,5,0
"AC011499.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011511.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
