"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"TRBV14",0,0,1,0,0,0,3,0,0,3,2,7,0,3,0,0,8,0,0,0,0,0,0
"TRBV15",0,0,13,0,0,0,1,0,0,2,2,0,0,0,3,0,4,0,0,5,0,0,0
"TRBV16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV18",2,0,0,0,0,6,3,2,1,0,12,0,0,0,0,0,0,0,16,0,0,0,0
"TRBV19",2,7,0,0,0,19,5,7,0,6,3,0,0,5,0,0,0,0,23,0,0,0,0
"TRBV2",11,20,31,0,0,1,2,0,0,3,16,0,0,8,2,1,2,0,14,0,0,0,48
"TRBV20-1",11,30,1,1,0,5,21,5,0,21,4,18,0,30,0,0,1,74,28,0,0,0,0
"TRBV20OR9-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV23-1",3,1,4,0,0,10,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
"TRBV24-1",4,3,0,0,0,0,0,0,1,0,3,0,0,3,0,1,0,0,0,16,0,0,0
"TRBV25-1",0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"TRBV27",5,0,0,0,0,8,5,1,0,1,6,8,4,5,0,7,2,0,0,0,0,0,0
"TRBV28",0,0,4,0,0,10,7,0,0,3,5,0,4,40,0,18,18,0,100,0,0,14,25
"TRBV29-1",0,2,22,0,0,12,1,3,0,0,2,0,0,2,0,1,3,0,0,0,0,0,0
"TRBV3-1",3,4,34,0,0,0,6,5,0,3,0,2,0,8,0,3,3,0,0,0,0,18,0
"TRBV30",1,0,37,0,0,10,4,7,0,7,6,0,0,3,3,3,0,0,32,0,0,0,0
"TRBV4-1",6,1,18,0,26,0,1,0,0,1,11,0,1,3,0,1,0,0,0,0,0,0,0
"TRBV4-2",8,23,0,0,0,0,3,2,0,0,1,2,1,1,0,2,2,0,0,0,0,0,0
"TRBV5-1",1,3,42,0,0,5,5,11,0,8,5,0,2,8,0,5,1,0,32,4,0,0,0
"TRBV5-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5-4",5,3,32,0,0,5,2,3,2,1,12,12,0,11,1,3,6,0,0,0,0,0,0
"TRBV5-5",0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,10,29,0,0,0
"TRBV5-6",6,1,1,0,0,0,1,0,0,0,3,0,1,11,0,1,2,0,0,0,0,0,39
"TRBV5-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6-1",9,4,1,0,0,0,1,7,0,1,2,7,0,4,0,1,0,0,0,0,0,12,0
"TRBV6-2",1,0,84,0,0,0,7,0,0,3,5,17,1,3,0,4,0,0,26,0,0,0,0
"TRBV6-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6-5",5,0,0,0,0,19,6,0,0,0,7,6,2,7,0,3,0,0,0,0,0,23,17
"TRBV6-6",0,7,0,0,0,5,0,0,0,0,4,21,0,3,6,1,3,0,0,0,0,0,0
"TRBV6-7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7-2",5,9,27,0,0,0,15,0,0,13,11,7,7,23,0,5,7,0,55,0,0,7,0
