Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.194689935515024,0.217051077440197,0.207133306627051,0.0619604683939117,0.0119545944195372,0.07568290033215,0.0656197838678718,0,0.0981504616210579,0.0454219252194463,0.0223355465637528,0,0.835147767839085,0.59313368938657
NIC4,0.212612141431692,0.280134259828586,0.0246439278597275,0.0546082562083213,0.0405891551214326,0.0400736034861053,0.0225809528897796,0.141186219328482,0.0853734415272998,0.0981980423185737,0,0,0.797797366605265,0.665101770404097
NIC23,0.344239802165665,0.219293720996286,0,0.162158585713417,0.0115520689446496,0.0581927129941445,0,0.0540026542436137,0.121021932069547,0,0.0295385228726778,0,0.604440431244824,0.799076463102687
NIC24,0.135094237777824,0.280625605423484,0.069109881806485,0.0609513580277091,0.141463472689669,0.0614748347860871,0.0119745928186045,0.115885123106693,0.110238199778051,0.0131826937853932,0,0,0.612391853991039,0.79351340338781
NIC25,0.267866117770509,0.381103636688019,0.131256286733712,0,0,0,0.0195662616524688,0.111490501352433,0.0631968262154625,0.00773310813922157,0.0177872614481749,0,0.803466569473746,0.610530931778725
NIC12nova,0.371950091555456,0.182781568155987,0.047190366385421,0.010813078664807,0.0152723916538071,0.0532001842063277,0,0.0998378667442399,0.162521438441777,0.0564330141921772,0,0,0.624458573306549,0.793413308660983
NIC29,0.123651566752765,0.460348204352161,0.0269196291034327,0,0.180311066147011,0.0129702140108347,0,0.11342898705914,0.0721578946187246,0.010212437955931,0,0,0.806686101474203,0.598236430547356
NIC15,0.169110597285604,0.569968602213289,0.0219175485406941,0.00909064439732251,0.00757446662767125,0.0576220996846546,0.0487807403881073,0.0705401837344226,0.00692963817703135,0.0384654789512035,0,0,0.910517119340096,0.422573403681895
NIC18,0.288529989331311,0.137412725953622,0.0209383584294531,0.0168403614403244,0.280942409164478,0.0450134385077821,0,0.031695788847288,0.129216254407188,0.0494106739185533,0,0,0.631647085860742,0.787195701720772
NIC17,0.356123978401427,0.19493988378224,0.032296225925038,0,0.133728628719349,0.0489488607448657,0,0.104000237887702,0.0520145516893302,0.077947632850047,0,0,0.798378049987214,0.674436852428592
NIC3,0.0465540423261839,0.378406230127218,0.0125910203616364,0.00978014565681747,0.0112759533726928,0.083085548206367,0.124117035445181,0.235261841025064,0,0.0989281834788407,0,0,0.660089898059781,0.755275465313981
NIC22,0.307318203783757,0.185723960853537,0.0100606832848316,0.00235936061911732,0.147987319168587,0.072966648257152,0.018331340258379,0.0474553163753629,0.116171764431779,0.091625402967498,0,0,0.795605235600367,0.693809314080975
NIC19,0.46134775125558,0.158398496180549,0.0298223815018235,0,0.0935641877497401,0.0534381668543556,0,0.0345617237700883,0.104331123594478,0.064536169093386,0,0,0.562164258741272,0.828842297150358
NIC20,0.446269744047916,0.042668715590656,0.0573450841531369,0,0,0.0174643744898274,0,0.12924269589924,0.161346833175388,0.145662552643836,0,0,0.532025409600086,0.849184573581189
NIC13,0.117970857567885,0.207583119706115,0.132914089075505,0.0180421420833504,0.0790155113822626,0.186297993486965,0.0505110889361592,0.0291823558405098,0.0811110700301296,0.0741171122020868,0.0232546596890313,0,0.81046119135799,0.674692271272271
NIC7,0.556207070871467,0.0614627237973574,0.00939204561951996,0.0473534762348807,0.00608498476299088,0.0266111109685112,0,0.0970252575756335,0.120014919265336,0.0758484109043034,0,0,0.697720072058968,0.728892341814957
