Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.180054281190966,0.194081150613874,0.219189526788203,0.0733837786250716,0,0.112571544757392,0.0740132491126098,0.00432632812587479,0.0873618956537496,0.019540102303973,0.0354781428282857,0,0.839244599598921,0.582639036384359
NIC4,0.234648648545956,0.312421298537518,0.040339200158239,0.080303344716123,0.0477384647166147,0.0561852783398045,0.0355775531957187,0.0786644295558501,0.0947315424102827,0.00516885723950997,0.0142213825843837,0,0.795108083485528,0.624202140959724
NIC23,0.326159497789726,0.209744248919923,0.00255805235963506,0.203294741156276,0.00272864531759805,0.0723696951065105,0.0204977457013641,0.0109467502799598,0.133112423391974,0,0.0185881999770329,0,0.603742424382868,0.802723529745965
NIC24,0.116168329470351,0.27441143292787,0.0659344871859299,0.0663386619281574,0.142547081137137,0.0986976624562863,0.029706507312995,0.0938234688902956,0.0912962809188673,0,0.0210760877721098,0,0.617079320912222,0.788180349751633
NIC25,0.245752746997639,0.36251785091487,0.169825187912536,0,0.00270481855391509,0,0.0204824877928999,0.0552070122964255,0.0742526044986193,0,0.0692572910330951,0,0.799281628759511,0.608135210855524
NIC12nova,0.365677089716755,0.18141670702925,0.0661151070628881,0.0106568284307641,0.00490069319974062,0.0773345966888092,0.0242574054837469,0,0.15898681221974,0,0.110654760168306,0,0.631898341001518,0.780019122952006
NIC29,0.111278883010136,0.435720126394252,0.0345113470456553,0,0.177644962011604,0.0719254539382212,0.0428208934986387,0.0565268991925879,0.0695714349089053,0,0,0,0.80552767665108,0.596228788999906
NIC15,0.15217899938603,0.552679704505736,0.0224517857324948,0.0106874189173637,0,0.0695384293013265,0.052625290572101,0.0692901928743881,0.00310233280604493,0.0200964139965629,0.0473494319079514,0,0.910104493038725,0.428103266017416
NIC18,0.265675512409451,0.133645673319287,0.0302499742960902,0.0205436770125413,0.287764633127329,0.114457810352929,0.016916029553859,0,0.130746689928514,0,0,0,0.631982920571883,0.780076345147776
NIC17,0.381925303851572,0.205973933653656,0.047434603962423,0,0.143601133331078,0.0958010089380358,0,0.0323369900199272,0.0474616419581987,0,0.045465384285109,0,0.797652664633205,0.63337246485354
NIC3,0.0381606352110712,0.381886645451876,0.0229128763497315,0.0108845210229417,0,0.0833992077094529,0.177187428120846,0.246339292965198,0,0.0392293931688817,0,0,0.667524945201154,0.744962947166613
NIC22,0.312486280236646,0.188065083884152,0.01274801528932,0.013155968612376,0.150699137503654,0.143327122741335,0.0142721676379642,0.0381331276046027,0.11030412609988,0,0.0168089703900706,0,0.796794691006138,0.656490107677829
NIC19,0.474169463776971,0.131507359850582,0.0485169335520806,0,0.0799383724915552,0.080423434785786,0.0113581044519151,0,0.159328542573758,0,0.0147577885173524,0,0.553609413306703,0.837621512918046
NIC20,0.517346303859289,0.0551488558733319,0.103448082021925,0,0,0.0256301976140748,0.00382522026369771,0,0.294601340367681,0,0,0,0.5228249431575,0.863936624621006
NIC13,0.0966078429210739,0.164717105172439,0.141062813371758,0.0282684912216731,0.0339823665524975,0.220841530266415,0.0300283173491268,0.0118246274995702,0.0756478447876602,0,0.197019060857787,0,0.811114803973193,0.677492103612565
NIC7,0.592370103820999,0.0595632877749614,0.0281217786743113,0.0545257702281346,0.00304770227727871,0.0259900998117579,0.0170080531907795,0.0753020655822693,0.142161037101751,0.00191010153775745,0,0,0.691346164390396,0.725953955416972
