Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.17194132511492,0.196142688632409,0.185530724793806,0.0933181913892158,0.00290006014045549,0.0685285083442468,0.0935513400481259,0,0.093850205884022,0.0706870646089489,0.0235498910438492,0,0.837985909399952,0.598932379683953
NIC4,0.198786059099226,0.273484946211861,0.0226703749240841,0.0713336853596398,0.0325103890539684,0.0316401838640432,0.120167728838756,0.0851957595206275,0.0925857795636302,0.0716250935641639,0,0,0.789283531135873,0.665321266450497
NIC23,0.320682489077611,0.204315094236544,0,0.201575062456966,0.00720750850329074,0.0176632163131043,0.0743822098886422,0,0.121302182281861,0.05287223724198,0,0,0.589348427613439,0.810218984659825
NIC24,0.124459597290936,0.28674392912451,0.0507063829407153,0.0691041680567578,0.112527300417975,0.0590165192516658,0.119725642980465,0.0496815145028759,0.10273292589296,0,0.0253020195411391,0,0.631083878237763,0.778964695264651
NIC25,0.247496925628847,0.341502535324301,0.149401601633867,0,0.00295364364944771,0,0.0843094533222045,0.0248180313770992,0.0750590777322348,0.0581769775110568,0.0162817538209424,0,0.7964069411505,0.620520950080189
NIC12nova,0.379854183059319,0.182099128509164,0.0514255897197643,0.00696006157874272,0.00273688213198708,0.0648293177299952,0.0901319271948545,0,0.167771965766107,0.0248503615074717,0.0293405828025942,0,0.666234502896865,0.759082407787061
NIC29,0.0928540572854508,0.431466448426129,0.0318804104167521,0,0.134757161805141,0.027887461313159,0.10233397513369,0.0773678765982704,0.0847861469170376,0.0166664621043699,0,0,0.800679932569642,0.605435660410586
NIC15,0.149726991113984,0.557647189658916,0.0193843828833379,0.0186110600016191,0,0.0486099033561777,0.06338950740379,0.0819712982260363,0.00408361143829962,0.0555459451827082,0.00103011073513128,0,0.912991768071032,0.415965334822025
NIC18,0.295165113489861,0.15026838025046,0.0159453819095632,0.0137649236943211,0.264113190570564,0.0317002682630604,0.0620574927975395,0,0.155086049226636,0.0118991997979939,0,0,0.652839014089852,0.76254960376523
NIC17,0.37858129903563,0.194343898127474,0.0446072833670526,0,0.105487799750559,0.0504019977328143,0.0529849456648992,0.0755555631745287,0.053953504114213,0.0440837090328292,0,0,0.806850005293992,0.643224425633623
NIC3,0.0424199828254509,0.367010741741457,0.0259336074570153,0.0386410613030287,0.00363977670842849,0.0409926352533383,0.233016190486837,0.141570497002747,0,0.106775507221698,0,0,0.666919403051197,0.747555260001994
NIC22,0.322924997567413,0.191783850746402,0.00713390921016794,0.010248888417793,0.114068692345016,0.0948937085607432,0.0834145214461377,0.0276169423226603,0.123872268288609,0.0230123776091047,0.00102984348595305,0,0.801813553235909,0.663665792404418
NIC19,0.428749642199514,0.144424418512587,0.0243343999139754,0,0.0615327372706269,0.0675893669099535,0.0193410067171187,0.0790361745356709,0.131590047496576,0.0434022064439772,0,0,0.556669360399144,0.83207535608463
NIC20,0.435120583888099,0.0484548932784833,0.0641244782007828,0,0,0.00173296258416411,0.0452600420631858,0.0434689793098684,0.276176593995909,0.0856614666795075,0,0,0.512255515891815,0.85938314134473
NIC13,0.108691407062106,0.18741649429557,0.120112534034257,0.0401096376448814,0.0309965484394557,0.20381940078476,0.105070841728425,0.00288346865561849,0.0829185458822201,0.0681457786585493,0.0498353428141563,0,0.824276780567027,0.665363565014069
NIC7,0.530981476161463,0.0613340753101229,0.00955077359728484,0.0632764545136448,0.00372066630822012,0.0150861479408872,0.064756514922912,0.0696045339166441,0.143524195451363,0.0381651618774573,0,0,0.693418690918786,0.727606865206224
