Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.178455443198884,0.161330096565884,0.240094284019616,0.113619539296457,0.00195783240088742,0.0514998659219134,0.0626728619550237,0.017623343753474,0.130611101451878,0.0281402800117297,0.0139953514242536,0,0.846213855526167,0.643997427394379
NIC4,0.176083188447408,0.129551803216451,0.0496361780758937,0.104002125156093,0.00804280022590665,0.136442389838907,0.0405014659962034,0.174682577712481,0.139346430635805,0.0417110406948518,0,0,0.794858143081567,0.730562399721949
NIC23,0.168355678060373,0.0942308751503206,0.0129658899939381,0.276776658205743,0,0.0490184001689,0.0247001819169649,0.142163634898576,0.175686144815992,0.0561025367891928,0,0,0.718870902726799,0.769654674655996
NIC24,0.108462032752697,0.135795142635115,0.117338462987667,0.0739786852583364,0.0546109615140132,0.142802692586122,0.0550663540331841,0.1442847148764,0.146343343544797,0.0213176098116681,0,0,0.655307303857528,0.799855300710178
NIC25,0.155402019590515,0.133378507313516,0.176348375491915,0,0,0.0732934609896571,0.0431786464774869,0.183778835020582,0.16317428173923,0.0714458733770977,0,0,0.817482641091067,0.719297185835497
NIC12nova,0.199009682742231,0.0755228317130938,0.106002532686243,0.02452445816382,0,0.101271251671716,0.0286248750755726,0.185252676222514,0.203204033258684,0.0765876584661256,0,0,0.639128713296742,0.841336841346268
NIC29,0.0818771613463487,0.177424851381754,0.0606709985524833,0.0122044835191413,0.0575089717585658,0.163081130864388,0.0459610311525288,0.211377254749107,0.140001336062441,0.0498927806132431,0,0,0.805155750303236,0.68606445543271
NIC15,0.127871062401169,0.260574799169106,0.11041201796442,0.0348861854311454,0,0.102782156601265,0.082673774066112,0.149992666256921,0.0614987589329345,0.0693085791769267,0,0,0.922244871642272,0.477580541908479
NIC18,0.184331922728242,0.0581760177284627,0.0689580007003049,0.0423465506188832,0.115333073037896,0.139628128831943,0.0289762071346745,0.186654685818008,0.157180958455717,0.018414454945869,0,0,0.663655009651958,0.81627236514703
NIC17,0.224119346889857,0.0689507580627563,0.0998856933603947,0.00017891691051209,0.039892887454047,0.121285734769948,0.0583894402281788,0.224727207698639,0.106953243904407,0.0556167707212608,0,0,0.826642930702097,0.765530953229344
NIC3,0.0510996789086167,0.196826504246092,0.0782591323129728,0.0157348715243062,0,0.160357972263965,0.0953895871954363,0.259907914333487,0.049422934570203,0.0930014046449211,0,0,0.682722778902331,0.757644627637747
NIC22,0.195198662272952,0.0534590965210978,0.0886236520908724,0.0264531604851875,0.0380247918284717,0.14549070512541,0.0604469943811393,0.203699061651344,0.133423203208174,0.0551806724353514,0,0,0.824290632913769,0.792181881471061
NIC19,0.258890880423165,0.0396603102867956,0.0780773963282778,0.00496121701220078,0.0237410800739188,0.0899847201950726,0.0306110721756901,0.290455122973597,0.111878583335405,0.0717396171958768,0,0,0.572623912653616,0.867329409146124
NIC20,0.23321181701779,0.0108219374735753,0.0502596906241783,0.00509253952463992,0,0.111425664094408,0.0264188893805622,0.314993488978022,0.192754252757948,0.0550217201488762,0,0,0.526882615149617,0.895729903592245
NIC13,0.0866262452486432,0.118453215187361,0.194003701140906,0.0499243429407774,0.0369599781171164,0.136541318444802,0.0414902185288718,0.108755777272391,0.139895863803834,0.0553706391677296,0.031978700147567,0,0.846373918480768,0.724701557053235
NIC7,0.383947721853947,0.0145306080693785,0.0599629199432582,0.0144022883499364,0,0.0879682449992917,0.0146391515921918,0.206104493456371,0.172450572053481,0.0459939996821445,0,0,0.754882497682394,0.757083740659757
