Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.196320068832445,0.176511718389952,0.191706211936373,0.0599352408953775,0.00636462389142506,0.108377791651515,0.0480070033402737,0.0388152929787223,0.0991970877299352,0,0.0747649603539814,0,0.847636756568876,0.664861523282734
NIC4,0.184242704186737,0.131857559363934,0.0376781962528521,0.0548933357058916,0.0162449078005724,0.184263064563422,0,0.211620829316912,0.103302874966648,0.017420959146684,0.0584755686963468,0,0.803827069695292,0.756231416840973
NIC23,0.181183778498065,0.109124717311478,0.013588708234851,0.200215649009986,0.0010995569757489,0.113545172484685,0,0.137254932194357,0.154309530833167,0.0181450735994684,0.0715328808581939,0,0.731682514490962,0.766518914747725
NIC24,0.120553392906534,0.146327900627076,0.082250879402999,0.0388014364218439,0.0530824098506553,0.20026630959204,0.0296390381517919,0.147957993731475,0.116503736762353,0,0.0646169025532321,0,0.639062431406153,0.817434900215935
NIC25,0.182074607571032,0.136659766482495,0.121218455508478,0,0,0.145513457990854,0,0.157604845805939,0.121271690052968,0,0.135657176588235,0,0.818865720800163,0.743578890409178
NIC12nova,0.213940040811486,0.0824193869790766,0.0964789639050599,0.00752925305055908,0.0029774025375412,0.167409458843332,0,0.168639530741824,0.176362897809375,0.0169754562373668,0.0672676090843797,0,0.595496801204957,0.8684569520045
NIC29,0.0897334022055252,0.176989350252631,0.0472699132968212,0,0.0545370672059963,0.220125772399458,0,0.20705869216246,0.119325756151436,0,0.0849600463256712,0,0.806159648827161,0.713871572978676
NIC15,0.129338729557663,0.248920320229922,0.0763303892718172,0.0021975635163531,0.00202482199657578,0.153957304230157,0.0216925227500315,0.192341949558205,0.0377598299707154,0.0307630243057331,0.104673544612827,0,0.918434597675543,0.546313598048845
NIC18,0.199500872273506,0.0664626667969467,0.0446894158123932,0.0103126503219251,0.112972958650921,0.204233056548805,0,0.190375046533813,0.108415259848741,0,0.063038073212949,0,0.618006760338748,0.841186479980946
NIC17,0.241614388089496,0.0688561596776412,0.071968202388512,0,0.0407612141913105,0.175136822088517,0.0115129544987127,0.173057442387928,0.0802453240395135,0.0390716189168121,0.0977758737215569,0,0.825370772484542,0.793292351602545
NIC3,0.047830497490787,0.218392784809556,0.0413272673184426,0.00299334933717364,0.00360474432761691,0.239004280486348,0.020918180629812,0.243994229806209,0.0184517957133179,0.0202252419686729,0.143257628112064,0,0.681310374535234,0.76080440619028
NIC22,0.202505477957676,0.0598792246257529,0.0715018320476608,0,0.0394380642844865,0.194562121546738,0.0222383089717081,0.180568120398211,0.116466078994656,0.0268053063207434,0.0860354648523668,0,0.826676989916729,0.814450120479176
NIC19,0.280891725849417,0.0469602900308635,0.06098659963557,0,0.0250874545088892,0.162577332396516,0,0.225257522568434,0.0934474667670206,0.0255173049890016,0.079274303254289,0,0.572791936979198,0.87833422832333
NIC20,0.247645899034756,0.00611580109188146,0.0350497414782077,0,0,0.224776750195245,0,0.260271394470339,0.153171915112235,0.0228051973794104,0.050163301237926,0,0.570851369212629,0.899006071978346
NIC13,0.0972028566762804,0.121453623633755,0.14339455074356,0.0260726803207638,0.0374572176993676,0.180632436523246,0.0396948598650216,0.124257545778653,0.107650002194016,0.0369965556908671,0.0851876708744698,0,0.841720077927088,0.753630126551553
NIC7,0.417277665037906,0.0210243471078574,0.0481356284181115,0,0,0.156500547439574,0,0.157410869139719,0.127293761493524,0.0348432621726818,0.0375139191906265,0,0.770206674817078,0.777679296481219
