Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.174758879705554,0.259001455484601,0.173009169003394,0.0418755579220029,0,0.0646547414174612,0.0655250620049181,0.0772624595764965,0.0754374045461964,0,0.0684752703393754,0,0.845386677475315,0.628471446099108
NIC4,0.173652940947521,0.220470870956597,0.0182119225865306,0.0472483406176848,0.023807153284229,0.147232854714014,0.0351689055690545,0.18834329319968,0.0771144256580865,0.00979358740700099,0.0589557050596017,0,0.807931699562485,0.704121521398352
NIC23,0.172695481918434,0.195860091580404,0.00569452485765937,0.1940107570729,0.00613461562201855,0.0675565626089984,0.00839500094429001,0.152074960412336,0.134015956043097,0.00841984840008834,0.055142200539774,0,0.742806795884608,0.710968979073796
NIC24,0.103878888724957,0.234774633956021,0.0641718322658883,0.0310035208079038,0.0678695327847794,0.144390065721399,0.0727231482483043,0.153127928408437,0.104313742692669,0.0102696462994232,0.0134770600902185,0,0.635664666449853,0.796712027384063
NIC25,0.16928127826913,0.232137252973202,0.0965783031569078,0,0,0.0974770673251603,0.0190721671125541,0.191141950060393,0.0916913387219656,0.00591053701174229,0.0967101053689446,0,0.823267818051401,0.686278934243184
NIC12nova,0.220833110308329,0.158752375340179,0.0544638265846998,0.00170608308190853,0.00463681238641592,0.136464312805491,0.000823897897818141,0.203633918566326,0.159252750707233,0.0182192741792829,0.041213638142316,0,0.592787818781852,0.838932777823663
NIC29,0.0821455582369838,0.281200198400072,0.0247011393244502,0,0.0751805345687798,0.165570844453431,0.0366942650684462,0.19731700024396,0.0893698293633337,0.00555311590103152,0.0422675144395114,0,0.814363003583441,0.662708975705165
NIC15,0.108773464645142,0.358735635339396,0.0272985829933421,0.00133632305236924,0.00111572968455676,0.122215574303964,0,0.240942079574224,0.0318441292156302,0.0403663494023704,0.0673721317890054,0,0.921563699065145,0.499889122300217
NIC18,0.203154141407562,0.1292534704625,0.0290539611791185,0.0086065462116613,0.178790651208158,0.150891123042465,0.00783363715950651,0.184222796904747,0.106230479086151,0,0.00196319333813067,0,0.614713098798036,0.810063073549349
NIC17,0.227323359458342,0.1407668808146,0.0443804661465169,0,0.0625153570520341,0.122177598875463,0.00480685322915254,0.24171505514521,0.0650881280189797,0.00835547290009723,0.0828708283596043,0,0.811489952196412,0.742483850832891
NIC3,0.0391324730168404,0.300718236727514,0.025401726196873,0.00198837524633188,0.00695948266539892,0.198866307867762,0.0516071050363255,0.256804990332958,0.0105829633015919,0.0315165397114564,0.0764217998969484,0,0.671326709531737,0.759239259673628
NIC22,0.204909986162679,0.106811511112871,0.0440123912544001,0,0.0566769164568558,0.156687627320201,0.0292205586506264,0.232039223490323,0.0877658374379175,0.0228121251406997,0.059063822973427,0,0.820336673862741,0.771650784640033
NIC19,0.302928050816212,0.0989703630923169,0.0364666509965076,0,0.0383785695584416,0.112802047620401,0.00814103506493442,0.214808344232683,0.0575162381770535,0,0.12998870044145,0,0.569628820337807,0.848724471883541
NIC20,0.292035943112544,0.0378226502080903,0.00990767415268645,0,0,0.177914735038303,0,0.259430857618039,0.142045496802878,0,0.0808426430674584,0,0.539503817657951,0.872791876616707
NIC13,0.0845998332580942,0.194196804154196,0.111353391526001,0.0154702673778544,0.0414907736091626,0.138865301464047,0.0491821402928748,0.146776449490913,0.0921481624470582,0.0591752695770888,0.0667416068027103,0,0.835428601803779,0.716190522476699
NIC7,0.441890067428089,0.0531144678500179,0.0227127011627882,0.00247431623678908,0.00144839132974043,0.127748985619209,0.0330320746152341,0.142402532343938,0.100826360199006,0,0.0743501032151884,0,0.773491533145433,0.711614717732588
