"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.0537805375219812,0.0333435678004857,0.0253057868930113,0.0173790687306957,0.0522331475360442,0.0170949807158565,0.0588217160199561,0.0590374038247085,0.0322109753037763,0.041436323292113,0.0396570222687444,0.0226886448809889,0.116181422776468,0.0248046049026917,0.0179619139513205,0.0267654903891754,0.0235853672737654,0.00207774100599694,0.0339740464871056,0.0412796234422974,0.447801255825707,0.151742408467101,0.117031083204457
"Stromal cells",0.0920492780734493,0.057057379941806,0.0433017413947375,0.0297183144930747,0.0893910278375461,0.0292757471003577,0.100677434051843,0.10102337583379,0.0551193081991547,0.0709358417079596,0.0678741206673443,0.0388286917588466,0.19891609328206,0.0424655468493967,0.0307351107421787,0.0458062028248376,0.040384714780351,0.00355767126625314,0.0581681283442183,0.0706831504025913,0.552198744174293,0.259686427127316,0.200442011890818
"Macro/mono Lineage",0.0805211354005812,0.0500201412653304,0.0379732741105813,0.0260164139371041,0.0785206219883363,0.0255947867075049,0.088036591587664,0.0885897017434787,0.048328296863138,0.0620768329082608,0.0593941948940341,0.0338577019329597,0.174410896441281,0.0371063624463028,0.0269549816412071,0.0401071943307036,0.0351910650195307,0.00308853424950078,0.0509966893833125,0.0618262789436393,0,0.227265540103181,0.17534509812009
"Bcells",0.0930905391776009,0.110386921325087,0.115344911150771,0.110918148998769,0.0170435925603464,0.115536663194839,0.0965770186633067,0.094198035906241,0.0974845194159059,0.10059949757219,0.103463976396731,0.106528978104963,0.0615746963822644,0.115251733950125,0.0258892776121956,0.113051784061455,0.113750718142677,0.118655172215943,0.106978384456248,0.0343444968013036,0,0.0446059742165726,0.0601621686927373
"Regulatory CD4 Tcells",0.145870103268645,0.155719103972594,0.166298167363421,0.17521740444415,0.157778202580146,0.161583635553677,0.139970335929152,0.150543522494011,0.158411812036137,0.1546241877727,0.151140056700079,0.17474778455793,0.090657522480345,0.166544497184649,0.167146145477386,0.166442084921063,0.164093293154835,0.182789835430359,0.165389623929964,0.167628139663847,0,0.0622731400727688,0.0932087535914297
"CD4 Tcells",0.175566083597253,0.193433814823356,0.199573042801686,0.212012285411306,0.236194755493117,0.227357899260225,0.168327158675408,0.164035766704723,0.211782186541076,0.188815782679067,0.191147920037003,0.196488055831412,0.119440110804669,0.200486788165242,0.295351808639429,0.198714614047036,0.212697344530862,0.21358258374402,0.190114322468606,0.221614997958786,0,0.0915382744131888,0.11462193483218
"NK cells",0.188119430354805,0.208034856135774,0.216621623496871,0.208915193703292,0.192940264475358,0.218437924312755,0.181620816952028,0.178325131953065,0.206896043626778,0.19986008805788,0.201684992566582,0.221378539742848,0.120619662481683,0.215740514891959,0.227436646087556,0.210759053565222,0.212205552014244,0.209313265388401,0.194177857834681,0.198636510435609,0,0.0826636579040439,0.103957750029129
"CD8 Tcells",0.171002892605684,0.192004214735567,0.195581452788921,0.219823170281608,0.175898387529106,0.205118363154785,0.165968928120643,0.164247061539982,0.189766858014035,0.181651446009829,0.185637716469482,0.205481603190051,0.118199595351229,0.197599951609634,0.208524115848727,0.198353575860508,0.198091945083735,0.266935196699526,0.200200947095865,0.203986802351925,0,0.0802245776958275,0.13523119963916
