"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.0245565797752292,0,0,0,0.0328683234280176,6.82978127635372e-05,0.0233605629306286,0.0292678439770534,0.110120074658919,0.000995192561682937,0.0272930225288457,0.000114625466921341,0.000130426866052948,3.17067826278451e-05,4.80722883765419e-05,0.0300731413589511,0,0,0.0656761105713145,0.111325579663972,0.196948890597254,0.305048118757511,0.0694105821179124
"Stromal cells",0.395137271701184,0.435725182165735,0.396677652084168,0.777399383904234,0.52617300326919,0.563340147036235,0.505101174065127,0.607602088564749,0.368219229941869,0.5027427524927,0.445298369111473,0.461910595139291,0.488494900219952,0.509299260711686,0.578673238679374,0.47043066212407,0.685312499210891,0.68845376413563,0.615465781592562,0.610823793238112,0.447367169934378,0.300424851941957,0.344965278069693
"Macro/mono Lineage",0.0430425094509256,0.0439409697228041,0.209654125488927,0.0432698525905904,0.0281053834541702,0.0520566946313016,0.0296187012390964,0.0022670010301487,0.00687908396172606,0.0628949368095389,0.0256422970584506,0.0401340776385608,0.0674703074660584,0.113007851497565,0.144291727248132,0.0581181860939934,0.00611699987944873,0.0904843188323863,0.0429408562402197,0.0524289219883049,0.0133721790432317,0.0214202188642611,0.371628754790892
"Bcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0.537263639072661,0.520333848111461,0.393668222426905,0.179330763505176,0.412853289848622,0.3845348605197,0.441919561765148,0.360863066428049,0.514781611437486,0.433367118136078,0.501766311301231,0.497840701755226,0.443904365447937,0.377661181008121,0.276986961784117,0.441378010422986,0.30857050090966,0.221061917031984,0.275917251595904,0.22542170510961,0.342311760425136,0.373106810436272,0.213995385021502
"NK cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
