"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.844698846340179,0.797884345054626,0.125690475106239,0.0137502299621701,0.884149193763733,0.887667059898376,0.910021483898163,0.907008528709412,0.953773558139801,0.843301355838776,0.866620302200317,0.864348828792572,0.531787693500519,0.200317934155464,0.492311269044876,0.95205295085907,0.0199063159525394,0.147631019353867,0.542447209358215,0.876539349555969,0.940029263496399,0.958769381046295,0.558179557323456
"Stromal cells",0.0562098063528538,0.075718842446804,0.459622412919998,0.945835649967194,0.0295368395745754,0.0353481210768223,0.0277152769267559,0.0253211595118046,0.00607848260551691,0.0677754655480385,0.0376660749316216,0.0367780849337578,0.248401060700417,0.60908055305481,0.336124032735825,0.00834599975496531,0.922681450843811,0.594648540019989,0.259996503591537,0.0372045263648033,0.0107899531722069,0.00570739433169365,0.0893477201461792
"Macro/mono Lineage",0.0169802829623222,0.0212787613272667,0.1789281219244,0.00859441794455051,0.0139032658189535,0.0112089263275266,0.0086107961833477,0.0093343136832118,0.00551134347915649,0.0152068231254816,0.0123191308230162,0.0141650745645165,0.110532283782959,0.0429222173988819,0.0592923387885094,0.00664771860465407,0.00924003124237061,0.0364161282777786,0.0322504006326199,0.0148994196206331,0.00779516017064452,0.00608126912266016,0.229095473885536
"Bcells",0.00959019456058741,0.0106047308072448,0.044370498508215,0.00454183155670762,0.0103028360754251,0.00941371917724609,0.00927684642374516,0.00812574755400419,0.00584936980158091,0.0113489897921681,0.0155780836939812,0.0126274693757296,0.0127677004784346,0.0255356375128031,0.015523930080235,0.00538511434569955,0.00930441915988922,0.0270222537219524,0.0307961832731962,0.0125323440879583,0.00680917222052813,0.00529622612521052,0.0240300241857767
"Regulatory CD4 Tcells",0.00904758088290691,0.0112371621653438,0.0271337684243917,0.00680585438385606,0.00904890801757574,0.00757160503417253,0.00551351392641664,0.00643541431054473,0.00335464556701481,0.00744748255237937,0.00966781564056873,0.00997719261795282,0.0203026793897152,0.018865555524826,0.0194052644073963,0.00427992595359683,0.00686528207734227,0.0494766011834145,0.0184180065989494,0.0105901062488556,0.00526793161407113,0.00500199571251869,0.021800072863698
"CD4 Tcells",0.0165116637945175,0.0173425115644932,0.0253660567104816,0.0045018051750958,0.0173826869577169,0.0127884522080421,0.0115400208160281,0.012398736551404,0.011385596357286,0.0181978028267622,0.0250126570463181,0.0178739279508591,0.0354198068380356,0.0345282666385174,0.031292162835598,0.00934530701488256,0.0129003012552857,0.0102411583065987,0.0400916188955307,0.0128936590626836,0.00668160198256373,0.00542197003960609,0.024896340444684
"NK cells",0.0129183335229754,0.0152326822280884,0.045077245682478,0.00723863393068314,0.0117437476292253,0.0126959765329957,0.00835494790226221,0.00896826293319464,0.00527333468198776,0.0123341362923384,0.0120914438739419,0.0134843504056334,0.0167321618646383,0.0223930105566978,0.0209064427763224,0.00638629402965307,0.00969007052481174,0.0384442210197449,0.0255581624805927,0.0141589837148786,0.00768531486392021,0.00595321319997311,0.0316878408193588
"CD8 Tcells",0.0340433120727539,0.050701018422842,0.0938114300370216,0.008731659501791,0.0239324569702148,0.0233062338083982,0.0189670771360397,0.0224078763276339,0.00877363607287407,0.0243879184126854,0.0210445281118155,0.0307450648397207,0.0240566618740559,0.0463567897677422,0.0251444801688194,0.0075566042214632,0.00941215269267559,0.0961200296878815,0.0504419058561325,0.0211815759539604,0.0149415982887149,0.0077686021104455,0.0209629777818918
