"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.6307269,0.6460036,0.27217293,0.26974252,0.8140107,0.6245224,0.6376299,0.62218857,0.8882331,0.4865761,0.5441539,0.5915103,0.50344735,0.2703327,0.53029484,0.72318983,0.1951108,0.2883782,0.37755343,0.6560574,0.8428362,0.90319943,0.6198779
"Stromal cells",0.17712629,0.19554465,0.5889055,0.66935474,0.10993472,0.29215047,0.30168203,0.3162788,0.0562811,0.40441093,0.2925447,0.25439408,0.32159355,0.5439417,0.36906353,0.21848476,0.72821873,0.5172742,0.51451415,0.29733896,0.08385524,0.04469877,0.17663336
"Macro/mono Lineage",0.0028958682,0.0015846464,0.003407538,0.001650303,0.0010787895,0.0011307441,0.0007620673,0.0006635203,0.00021972136,0.0017010729,0.0022626705,0.001927968,0.004380762,0.003774099,0.0012934963,0.0009734511,0.00097593764,0.011064974,0.0023060679,0.00085406844,0.0010978947,0.0007504861,0.018978782
"Bcells",0.005473223,0.004197164,0.009949039,0.0063526365,0.004106535,0.00665765,0.004256947,0.0062758126,0.0013568761,0.0055290274,0.009277971,0.009578434,0.0057932925,0.010761074,0.0029120576,0.004329293,0.0075906026,0.028728766,0.006795842,0.0038893705,0.0030541662,0.00206838,0.008615277
"Regulatory CD4 Tcells",0.0016795812,0.0013439907,0.0019392977,0.0016537402,0.0011582924,0.0014076997,0.0007065682,0.001052085,0.00032335983,0.0012662145,0.0019156853,0.0018873342,0.0015428638,0.0020479409,0.00085680187,0.0010197768,0.0010131976,0.009230756,0.0023743687,0.0014332868,0.0010380334,0.0007917294,0.0037057016
"CD4 Tcells",0.00022600043,0.000110943074,0.00023891484,0.00022235473,0.00016639238,0.00015244941,8.4918334e-05,0.00010975185,4.1044845e-05,0.00017714368,0.00022554962,0.00018634666,0.00021852714,0.00029766173,9.8120574e-05,0.00011938906,0.00013710976,0.0017099273,0.0003171121,0.00016076853,0.0002489194,9.85823e-05,0.000748492
"Proliferative Tcells",0.17880642,0.14927056,0.118985,0.04872781,0.06809037,0.0724128,0.053744286,0.05204186,0.05312443,0.098296136,0.14679115,0.13771974,0.16029839,0.16551214,0.094153166,0.050576746,0.06501431,0.12920094,0.09368666,0.038928498,0.066664,0.047524065,0.16553317
"NK cells",0.002268054,0.0014521504,0.003495008,0.0017631063,0.0011034926,0.0012205888,0.0009542944,0.0011405123,0.00036918314,0.0016972432,0.0022107232,0.0021942465,0.0022230148,0.0025754923,0.0010599588,0.0010302933,0.0015886117,0.010954704,0.001923224,0.0010479204,0.00091743673,0.0006643518,0.0034941847
"CD8 Tcells",0.0007976997,0.0004922923,0.0009067398,0.0005327863,0.00035069414,0.00034523953,0.00017900247,0.00024911415,5.1186344e-05,0.00034609906,0.0006176177,0.00060154434,0.0005022757,0.00075727334,0.0002680998,0.0002764416,0.000350774,0.0034575493,0.0005291261,0.00028973335,0.00028807024,0.00020416382,0.0024132088
