"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromal cells",0.062733655318347,0.118435501614891,0.0489471288386688,0.83428939343871,0.0347038622780246,0.0459180834213094,0.0423353194838926,0.0387155071624938,0.0240880556182972,0.0688453700426198,0.034440648900164,0.0423349066639013,0.118964614848335,0.138282894410232,0.15654502334562,0.0346865627612917,0.153073312203173,0.431858018932845,0.0538439766470059,0.0438595792608195,0.032640928495878,0.0258955739768534,0.0500584365772548
"Macro/mono Lineage",0.0354117742010917,0.0338818333432439,0.0613750010785078,0,0.0344094976485585,0.036381049655323,0.0311635898433171,0.0373297108989328,0.0356210603037347,0.0350921853906901,0.032031719839829,0.0344115869449346,0.0375954973625033,0.0365933977207101,0.0337017981777472,0.0337247426541967,0.0295825533603904,0,0.0459052373322621,0.0433976774002611,0.0401226879062064,0.0400515676194671,0.0467723287435936
"Bcells",0.182463952858775,0.174795515686585,0.236846904810188,0.00372665688497155,0.177571972148983,0.190087675306203,0.173384225018633,0.204794005915841,0.196096105561442,0.185935115551413,0.180477750353306,0.182137184701227,0.180548656828285,0.238647866073953,0.166372824400094,0.171091077609257,0.185496258244432,0,0.28077532702944,0.240144206889723,0.212484059542098,0.205565256728592,0.228375477372351
"Regulatory CD4 Tcells",0.151314019830119,0.171082438636794,0.073405184155978,0,0.149296168850133,0.211561630019718,0.0358747625943415,0.200899489689283,0.178773516072703,0.198604028770303,0.0961485540409199,0.205489872199765,0.16902356620465,0.156942793512985,0.17822839981377,0.14415010896262,0.165137552616771,0,0.275614619454434,0.226559232973622,0.160435688611276,0.147648234631236,0.197600746238198
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK cells",0.568076597791667,0.501804710718486,0.579425781116658,0.161983949676319,0.604018499074301,0.516051561597447,0.717242103059816,0.518261286333449,0.565421262443824,0.511523300244974,0.656901326865781,0.535626449490172,0.493867664756226,0.429533048282121,0.46515195426277,0.616347508012634,0.466710323575234,0.568141981067155,0.343860839536858,0.446039303475575,0.554316635444542,0.580839367043852,0.477193011068603
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
