"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.592,0.641,0.195,0.253,0.617,0.415,0.426,0.507,0.618,0.378,0.507,0.519,0.514,0.284,0.498,0.586,0.163,0.384,0.38,0.459,0.643,0.694,0.571
"Stromal cells",0.363,0.382,0.75,0.775,0.225,0.4,0.378,0.464,0.15,0.626,0.451,0.479,0.553,0.719,0.684,0.346,0.994,0.7,0.713,0.55,0.208,0.168,0.308
"Macro/mono Lineage",0.003,0.003,0.005,0.003,0.001,0.002,0.001,0.001,0.001,0.003,0.003,0.004,0.008,0.007,0.003,0.002,0.002,0.042,0.004,0.001,0.002,0.002,0.023
"Bcells",0.006,0.005,0.006,0.004,0.005,0.007,0.004,0.005,0.005,0.005,0.01,0.011,0.007,0.012,0.004,0.007,0.004,0.06,0.008,0.003,0.006,0.005,0.014
"Regulatory CD4 Tcells",0.007,0.004,0.005,0.003,0.005,0.005,0.002,0.003,0.002,0.003,0.005,0.006,0.004,0.004,0.002,0.003,0.001,0.02,0.006,0.003,0.005,0.005,0.011
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.001
"NK cells",0.004,0.002,0.003,0.002,0.003,0.002,0.001,0.001,0.002,0.002,0.003,0.004,0.004,0.002,0.002,0.002,0.001,0.038,0.003,0.003,0.004,0.003,0.012
"CD8 Tcells",0.017,0.017,0.008,0.008,0.012,0.009,0.005,0.005,0.005,0.007,0.013,0.012,0.012,0.008,0.009,0.007,0.004,0.052,0.005,0.011,0.012,0.014,0.031
