"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Bcells",0.088,0.046,0.017,0.078,0.15,0.145,0.117,0.188,0.321,0.103,0.155,0.145,0.029,0.076,0.179,0.146,0.241,0.052,0.09,0.177,0.023,0.012,0
"Cancer cells",0.036,0.035,0.016,0.007,0.037,0.044,0.035,0.063,0.081,0.023,0.024,0.04,0.023,0,0.032,0.05,0,0.034,0.068,0.073,0.086,0.106,0.01
"CD4 Tcells",0.237,0,0,0,0.08,0,0.414,0,0.573,0.322,0.411,0.038,0.261,0.455,0.065,0.382,0.434,0,0.224,0.077,0.137,0.228,0.05
"CD8 Tcells",0.332,0.234,0.927,0.112,0.033,0.179,0.096,0.139,0,0.206,0.106,0.1,0.179,0.293,0.059,0.115,0,0.201,0.068,0.243,0.174,0,0.236
"Macro/mono Lineage",0.062,0.068,0.153,0.075,0.098,0.152,0.058,0.079,0.067,0.062,0.08,0.062,0.114,0.113,0.168,0.071,0.062,0.046,0.099,0.128,0.072,0.123,0.278
"NK cells",0.142,0.198,0.314,0.19,0.258,0.152,0.145,0.187,0.019,0.065,0.147,0.245,0.15,0,0.109,0.114,0.037,0.283,0.203,0.134,0.036,0.174,0
"Regulatory CD4 Tcells",0.079,0.256,0.065,0.148,0.188,0.151,0.126,0.078,0,0.201,0.09,0.203,0.158,0.208,0.108,0.142,0,0,0.058,0.059,0.379,0.114,0.846
"Stromal cells",0.102,0.129,0.027,0.244,0.094,0.12,0.084,0.13,0,0.107,0.072,0.131,0.109,0.112,0.14,0.048,0.185,0.237,0.067,0.083,0.023,0.018,0
