"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.034,0.014,0.009,0,0.061,0.01,0.055,0.054,0.175,0.022,0.059,0.019,0.015,0.004,0.004,0.059,0,0,0.063,0.118,0.236,0.271,0.063
"Stromal cells",0.408,0.502,0.601,0.811,0.524,0.573,0.524,0.661,0.332,0.541,0.479,0.576,0.606,0.658,0.587,0.671,0.774,0.802,0.53,0.495,0.45,0.226,0.338
"Macro/mono Lineage",0.024,0.015,0.217,0.006,0.024,0.049,0.011,0,0.001,0.012,0.006,0.007,0.062,0.092,0.141,0.02,0,0.07,0.022,0.03,0.002,0.016,0.395
"Bcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0.606,0.517,0.387,0.062,0.456,0.295,0.386,0.267,0.447,0.477,0.52,0.482,0.431,0.402,0.234,0.529,0.2,0.109,0.254,0.133,0.23,0.223,0.306
"NK cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
