"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.2,0.174,0,0.091,0.242,0.12,0.352,0.162,0.431,0.114,0.233,0.154,0.124,0.067,0.173,0.378,0.036,0,0.137,0.26,0.76,0.336,0.171
"Stromal cells",0.168,0.105,0.465,0.377,0.215,0.254,0.182,0.175,0.173,0.243,0.147,0.334,0.174,0.223,0.325,0.2,0.533,0.237,0.079,0.089,0,0,0.263
"Macro/mono Lineage",0.026,0.023,0.135,0.311,0,0,0.027,0,0,0.206,0,0,0.335,0.23,0.042,0.092,0.234,0.195,0.103,0.056,0,0,0.089
"Bcells",0.576,0.781,1.831,0,0.102,0.556,0.475,0.648,0.03,0.406,0.988,0.733,0,0.528,0.284,0.549,0.315,0.694,1.172,0,0,0.197,0.205
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0.016,0,0,0.093,0,0,0,0
"CD4 Tcells",0.014,0.075,0,0.011,0.055,0,0,0.048,0,0.083,0,0,0,0.03,0,0.06,0.111,0,0.019,0.031,0.126,0.029,0
"Proliferative Tcells",0.056,0.029,0.177,0,0,0,0,0,0,0,0,0,0.008,0.034,0,0,0.013,0,0.003,0,0,0,0.338
"NK cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
