"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromal cells",0.025,0.034,0.011,0.112,0.022,0.021,0.014,0.021,0.017,0.028,0.017,0.02,0.038,0.032,0.057,0.016,0.047,0.084,0.013,0.014,0.011,0.007,0.015
"Macro/mono Lineage",0.01,0.012,0.027,0,0.011,0.013,0.012,0.013,0.012,0.013,0.01,0.013,0.013,0.011,0.01,0.013,0.005,0,0.014,0.014,0.012,0.013,0.019
"Bcells",0.122,0.183,0.221,0.022,0.107,0.16,0.121,0.164,0.119,0.146,0.115,0.148,0.147,0.183,0.196,0.127,0.156,0.017,0.158,0.168,0.14,0.142,0.182
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0.092,0.088,0,0,0.077,0.081,0.073,0.095,0.093,0.105,0.077,0.102,0.1,0.085,0.096,0.084,0,0,0.065,0.051,0.053,0.039,0.053
"NK cells",0.75,0.619,0.736,0,0.758,0.689,0.814,0.715,0.747,0.645,0.815,0.766,0.631,0.602,0.387,0.767,0.489,0.099,0.769,0.773,0.853,0.921,0.689
"CD8 Tcells",0.01,0,0,0.886,0,0,0,0,0,0,0,0,0.008,0.077,0.172,0,0.4,0.825,0,0,0,0,0
