"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.333,0.335,0.138,0.225,0.298,0.404,0.419,0.351,0.468,0.368,0.455,0.401,0.299,0.103,0.247,0.58,0.157,0.161,0.281,0.38,0.54,0.572,0.291
"Stromal cells",0.237,0.326,0.563,0.726,0.165,0.227,0.236,0.191,0.04,0.194,0.205,0.294,0.198,0.522,0.412,0.142,0.736,0.59,0.331,0.276,0.144,0.049,0.339
"Macro/mono Lineage",0,0.002,0.085,0,0,0,0.004,0,0,0,0,0,0.121,0.061,0.004,0.003,0,0,0.013,0,0,0,0.148
"Bcells",0.059,0.152,0.461,0.029,0.036,0.047,0.174,0.114,0.041,0.112,0.249,0.197,0,0.388,0.178,0.174,0.093,0.333,0.073,0.027,0.013,0.044,0.153
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0
"CD4 Tcells",0.05,0,0,0.166,0,0.073,0.043,0,0,0.068,0,0,0.175,0.107,0,0,0.087,0,0.016,0.05,0.015,0.048,0
"Proliferative Tcells",0.331,0.225,0.293,0,0.366,0.109,0.197,0.129,0.302,0.158,0.213,0.193,0.166,0.191,0.172,0.06,0.174,0,0.165,0.09,0.152,0.165,0.077
"NK cells",0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
