"","values","cell_types","models","cols"
"62",0.156623105361866,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"63",0.428394431816212,"CD8 Tcells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"64",-0.23781971671905,"NK cells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"65",0.476866001984754,"Cancer cells","DWLS","uncorrected_woProl_gd"
"66",0.456669119567459,"Stromal cells","DWLS","uncorrected_woProl_gd"
"67",0.334891259000241,"Macro/mono Lineage","DWLS","uncorrected_woProl_gd"
"68",0.314746846514982,"Bcells","DWLS","uncorrected_woProl_gd"
"69",0.0449874933887955,"CD4 Tcells","DWLS","uncorrected_woProl_gd"
"70",0.38988107096424,"Regulatory CD4 Tcells","DWLS","uncorrected_woProl_gd"
"71",0.839563148395963,"CD8 Tcells","DWLS","uncorrected_woProl_gd"
"72",-0.0127018531168591,"NK cells","DWLS","uncorrected_woProl_gd"
"73",0.42153807372911,"Cancer cells","DWLS","uncorrected_woProl_gdwoOthers"
"74",0.456406460681343,"Stromal cells","DWLS","uncorrected_woProl_gdwoOthers"
"75",0.304675043402133,"Macro/mono Lineage","DWLS","uncorrected_woProl_gdwoOthers"
"76",0.324280325980674,"Bcells","DWLS","uncorrected_woProl_gdwoOthers"
"77",0.0753726805439012,"CD4 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"78",0.430683812528567,"Regulatory CD4 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"79",0.845136107948187,"CD8 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"80",-0.0114196614466518,"NK cells","DWLS","uncorrected_woProl_gdwoOthers"
"81",0.438064120224602,"Cancer cells","MOMF","uncorrected_woProl_gd"
"82",0.378695021734173,"Stromal cells","MOMF","uncorrected_woProl_gd"
"83",0.0226153805090448,"Macro/mono Lineage","MOMF","uncorrected_woProl_gd"
"84",0.290313474576195,"Bcells","MOMF","uncorrected_woProl_gd"
"85",NA,"CD4 Tcells","MOMF","uncorrected_woProl_gd"
"86",0.120638617345513,"Regulatory CD4 Tcells","MOMF","uncorrected_woProl_gd"
"87",-0.062682407996173,"CD8 Tcells","MOMF","uncorrected_woProl_gd"
"88",-0.0337306539246528,"NK cells","MOMF","uncorrected_woProl_gd"
"89",0.425743952693293,"Cancer cells","MOMF","uncorrected_woProl_gdwoOthers"
"90",0.379331166090233,"Stromal cells","MOMF","uncorrected_woProl_gdwoOthers"
"91",0.0246037334691257,"Macro/mono Lineage","MOMF","uncorrected_woProl_gdwoOthers"
"92",0.28059674108697,"Bcells","MOMF","uncorrected_woProl_gdwoOthers"
"93",NA,"CD4 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
"94",0.124979632232162,"Regulatory CD4 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
"95",-0.0437564400256705,"CD8 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
"96",-0.0379047447209397,"NK cells","MOMF","uncorrected_woProl_gdwoOthers"
"97",0.277870454249483,"Cancer cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"98",0.0906497361613941,"Stromal cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"99",-0.312436417448084,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_woProl_gd"
"100",0.375219047859985,"Bcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"101",0.044912909214677,"CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"102",0.171888016055928,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"103",0.324039324464477,"CD8 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"104",-0.0597462076189773,"NK cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"105",0.201479053342229,"Cancer cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"106",0.0671784694133681,"Stromal cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"107",-0.344575634346664,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"108",0.384859474599025,"Bcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"109",0.0703657408191536,"CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"110",0.209128273575545,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"111",0.339659385848014,"CD8 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"112",-0.037350106685977,"NK cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"113",0.475496324943419,"Cancer cells","Scaden","uncorrected_woProl_gd"
"114",0.28684163259537,"Stromal cells","Scaden","uncorrected_woProl_gd"
"115",0.49201039851013,"Macro/mono Lineage","Scaden","uncorrected_woProl_gd"
"116",-0.0853694082129966,"Bcells","Scaden","uncorrected_woProl_gd"
"117",0.0320855819395712,"CD4 Tcells","Scaden","uncorrected_woProl_gd"
"118",0.162681196283136,"Regulatory CD4 Tcells","Scaden","uncorrected_woProl_gd"
"119",0.23702143594284,"CD8 Tcells","Scaden","uncorrected_woProl_gd"
"120",-0.256113828579772,"NK cells","Scaden","uncorrected_woProl_gd"
"121",0.435038201968602,"Cancer cells","Scaden","uncorrected_woProl_gdwoOthers"
"122",0.298361766107193,"Stromal cells","Scaden","uncorrected_woProl_gdwoOthers"
"123",0.475029946727837,"Macro/mono Lineage","Scaden","uncorrected_woProl_gdwoOthers"
"124",-0.083059172492289,"Bcells","Scaden","uncorrected_woProl_gdwoOthers"
"125",0.0298801903650488,"CD4 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"126",0.158727467410208,"Regulatory CD4 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"127",0.214206026605633,"CD8 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"128",-0.254820558573888,"NK cells","Scaden","uncorrected_woProl_gdwoOthers"
"129",0.381895276318731,"Cancer cells","SCDC","uncorrected_woProl_gd"
"130",0.294174176894155,"Stromal cells","SCDC","uncorrected_woProl_gd"
"131",0.387622950738387,"Macro/mono Lineage","SCDC","uncorrected_woProl_gd"
"132",NA,"Bcells","SCDC","uncorrected_woProl_gd"
"133",NA,"CD4 Tcells","SCDC","uncorrected_woProl_gd"
"134",0.261746528184539,"Regulatory CD4 Tcells","SCDC","uncorrected_woProl_gd"
"135",0.778657724410138,"CD8 Tcells","SCDC","uncorrected_woProl_gd"
"136",0.0895626121768916,"NK cells","SCDC","uncorrected_woProl_gd"
"137",0.346428699034927,"Cancer cells","SCDC","uncorrected_woProl_gdwoOthers"
"138",0.296287009246708,"Stromal cells","SCDC","uncorrected_woProl_gdwoOthers"
"139",0.391518292280434,"Macro/mono Lineage","SCDC","uncorrected_woProl_gdwoOthers"
"140",NA,"Bcells","SCDC","uncorrected_woProl_gdwoOthers"
"141",NA,"CD4 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"142",0.315888803650335,"Regulatory CD4 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"143",0.806020906079789,"CD8 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"144",0.124505098011173,"NK cells","SCDC","uncorrected_woProl_gdwoOthers"
"145",0.379240004422824,"Cancer cells","BisqueRNA","uncorrected_gd"
"146",0.482820285382028,"Stromal cells","BisqueRNA","uncorrected_gd"
"147",0.0698121602859441,"Macro/mono Lineage","BisqueRNA","uncorrected_gd"
"148",0.0474771610884773,"Bcells","BisqueRNA","uncorrected_gd"
"149",0.0648928527382008,"CD4 Tcells","BisqueRNA","uncorrected_gd"
"150",-0.0406413788075161,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_gd"
"151",0.640553470977153,"CD8 Tcells","BisqueRNA","uncorrected_gd"
"152",0.0323839324349525,"Proliferative Tcells","BisqueRNA","uncorrected_gd"
"153",0.0241498026321911,"NK cells","BisqueRNA","uncorrected_gd"
"154",0.335050312109035,"Cancer cells","BisqueRNA","uncorrected_gdwoOthers"
"155",0.476696715799195,"Stromal cells","BisqueRNA","uncorrected_gdwoOthers"
"156",0.0614563023884613,"Macro/mono Lineage","BisqueRNA","uncorrected_gdwoOthers"
"157",0.0403117003618047,"Bcells","BisqueRNA","uncorrected_gdwoOthers"
"158",0.0734737695282719,"CD4 Tcells","BisqueRNA","uncorrected_gdwoOthers"
"159",-0.0318282967269564,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_gdwoOthers"
