"","values","samples","models","cols"
"69",0.0367630968359317,"S52","BSeqSC","uncorrected_woProl_gd"
"70",-0.169682342961033,"NIC12nova","BSeqSC","uncorrected_woProl_gdwoOthers"
"71",-0.00304676313188484,"NIC12","BSeqSC","uncorrected_woProl_gdwoOthers"
"72",-0.0822734887395549,"NIC13","BSeqSC","uncorrected_woProl_gdwoOthers"
"73",0.349582022828163,"NIC15","BSeqSC","uncorrected_woProl_gdwoOthers"
"74",-0.239444459262064,"NIC16","BSeqSC","uncorrected_woProl_gdwoOthers"
"75",0.139369384238666,"NIC17","BSeqSC","uncorrected_woProl_gdwoOthers"
"76",0.15566769137801,"NIC18","BSeqSC","uncorrected_woProl_gdwoOthers"
"77",0.467150601863237,"NIC19","BSeqSC","uncorrected_woProl_gdwoOthers"
"78",0.16734759792148,"NIC20","BSeqSC","uncorrected_woProl_gdwoOthers"
"79",0.0201217473350926,"NIC21","BSeqSC","uncorrected_woProl_gdwoOthers"
"80",-0.189373980288855,"NIC22nova","BSeqSC","uncorrected_woProl_gdwoOthers"
"81",-0.285716250261141,"NIC22","BSeqSC","uncorrected_woProl_gdwoOthers"
"82",-0.0746383370907403,"NIC23","BSeqSC","uncorrected_woProl_gdwoOthers"
"83",-0.192510260454462,"NIC24","BSeqSC","uncorrected_woProl_gdwoOthers"
"84",0.0610549922207295,"NIC25","BSeqSC","uncorrected_woProl_gdwoOthers"
"85",0.717923402312277,"NIC27","BSeqSC","uncorrected_woProl_gdwoOthers"
"86",-0.0314232824215165,"NIC29","BSeqSC","uncorrected_woProl_gdwoOthers"
"87",0.0436052060912126,"NIC3","BSeqSC","uncorrected_woProl_gdwoOthers"
"88",0.353388663480426,"NIC4","BSeqSC","uncorrected_woProl_gdwoOthers"
"89",0.375876321202899,"NIC5","BSeqSC","uncorrected_woProl_gdwoOthers"
"90",0.464539535899603,"NIC6","BSeqSC","uncorrected_woProl_gdwoOthers"
"91",0.429431483029372,"NIC7","BSeqSC","uncorrected_woProl_gdwoOthers"
