"","values","cell_types","models","cols"
"62",0.00798782267248438,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"63",0.0167331505498642,"CD8 Tcells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"64",0.0182099289403345,"NK cells","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"65",0.242140520930169,"Cancer cells","DWLS","uncorrected_woProl_gd"
"66",0.224156516472184,"Stromal cells","DWLS","uncorrected_woProl_gd"
"67",0.0873166409796032,"Macro/mono Lineage","DWLS","uncorrected_woProl_gd"
"68",0.19591526154475,"Bcells","DWLS","uncorrected_woProl_gd"
"69",0.0417213495980371,"CD4 Tcells","DWLS","uncorrected_woProl_gd"
"70",0.00844337654790708,"Regulatory CD4 Tcells","DWLS","uncorrected_woProl_gd"
"71",0.0132586132580738,"CD8 Tcells","DWLS","uncorrected_woProl_gd"
"72",0.00475586418881224,"NK cells","DWLS","uncorrected_woProl_gd"
"73",0.267015538042577,"Cancer cells","DWLS","uncorrected_woProl_gdwoOthers"
"74",0.218836780579316,"Stromal cells","DWLS","uncorrected_woProl_gdwoOthers"
"75",0.0923998135615627,"Macro/mono Lineage","DWLS","uncorrected_woProl_gdwoOthers"
"76",0.195687662859914,"Bcells","DWLS","uncorrected_woProl_gdwoOthers"
"77",0.0449315913468184,"CD4 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"78",0.00853763013070096,"Regulatory CD4 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"79",0.0145984395886381,"CD8 Tcells","DWLS","uncorrected_woProl_gdwoOthers"
"80",0.00496950940471986,"NK cells","DWLS","uncorrected_woProl_gdwoOthers"
"81",0.61622129708984,"Cancer cells","MOMF","uncorrected_woProl_gd"
"82",0.118002419456047,"Stromal cells","MOMF","uncorrected_woProl_gd"
"83",0.0629856940459934,"Macro/mono Lineage","MOMF","uncorrected_woProl_gd"
"84",0.0166143323922269,"Bcells","MOMF","uncorrected_woProl_gd"
"85",0.0441609019534661,"CD4 Tcells","MOMF","uncorrected_woProl_gd"
"86",0.0996040378194903,"Regulatory CD4 Tcells","MOMF","uncorrected_woProl_gd"
"87",0.226767555741972,"CD8 Tcells","MOMF","uncorrected_woProl_gd"
"88",0.524220483700869,"NK cells","MOMF","uncorrected_woProl_gd"
"89",0.645015995753475,"Cancer cells","MOMF","uncorrected_woProl_gdwoOthers"
"90",0.115185473685263,"Stromal cells","MOMF","uncorrected_woProl_gdwoOthers"
"91",0.0686129598592423,"Macro/mono Lineage","MOMF","uncorrected_woProl_gdwoOthers"
"92",0.0165988648116047,"Bcells","MOMF","uncorrected_woProl_gdwoOthers"
"93",0.04749965883081,"CD4 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
"94",0.0991953807252285,"Regulatory CD4 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
