"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.871848702430725,0.851379811763763,0.114970505237579,0.0152878863736987,0.882148802280426,0.898221790790558,0.894362986087799,0.932976901531219,0.955084800720215,0.863165020942688,0.863240361213684,0.892324507236481,0.637181222438812,0.239538937807083,0.585434675216675,0.953707814216614,0.0238480884581804,0.0859273448586464,0.637723445892334,0.90339857339859,0.955040335655212,0.966812551021576,0.632011890411377
"Stromal cells",0.038843896239996,0.0519912540912628,0.499479115009308,0.944697618484497,0.0327382273972034,0.0321821682155132,0.0287974234670401,0.0159478019922972,0.00579579407349229,0.0481084361672401,0.0346592776477337,0.0281443260610104,0.120698228478432,0.511778175830841,0.23845861852169,0.00773863354697824,0.912682592868805,0.744737863540649,0.173890769481659,0.0250213574618101,0.00777023332193494,0.00430984143167734,0.062947615981102
"Macro/mono Lineage",0.02070277556777,0.0222470723092556,0.203823730349541,0.00736180040985346,0.0164938662201166,0.015351565554738,0.0165262203663588,0.00960076134651899,0.00690526282414794,0.0197078995406628,0.0202183518558741,0.0173134673386812,0.133241951465607,0.0771795734763145,0.0538039766252041,0.00836656428873539,0.0088068563491106,0.0334412343800068,0.0403315536677837,0.0166529733687639,0.00782836135476828,0.00710907531902194,0.197272062301636
"Bcells",0.0112355193123221,0.0117308078333735,0.0395018011331558,0.00559802353382111,0.0121725145727396,0.00901505164802074,0.0121115129441023,0.00719450600445271,0.00660658394917846,0.0123007632791996,0.0189162008464336,0.0123320873826742,0.0161408670246601,0.0380186066031456,0.0196048002690077,0.00568364793434739,0.0123102385550737,0.0178600251674652,0.0280308127403259,0.00926431640982628,0.00438460242003202,0.00332438969053328,0.0171486232429743
"Regulatory CD4 Tcells",0.00998031068593264,0.0107113691046834,0.0195778924971819,0.00559972925111651,0.00840337388217449,0.0075561935082078,0.00778173608705401,0.00563522707670927,0.00312373950146139,0.00946294143795967,0.0105810090899467,0.00904752034693956,0.01739501953125,0.0229692421853542,0.0154109736904502,0.00408288976177573,0.00615814886987209,0.0272520054131746,0.015333310700953,0.00789778493344784,0.00452376343309879,0.00355696561746299,0.0194327868521214
"CD4 Tcells",0.0146599030122161,0.0170297883450985,0.035208486020565,0.00670531950891018,0.0243007950484753,0.0132860653102398,0.0112705565989017,0.0106511963531375,0.0138036319985986,0.0161410924047232,0.0248851235955954,0.0173592772334814,0.0289441701024771,0.0441442653536797,0.049697645008564,0.00929971225559711,0.0175971407443285,0.00824870262295008,0.0612484291195869,0.0169899314641953,0.00602961936965585,0.0053060227073729,0.0285383034497499
"NK cells",0.0167885553091764,0.0163155514746904,0.0481956899166107,0.00750832026824355,0.0116757219657302,0.0137346163392067,0.0173798911273479,0.0103678433224559,0.00507154129445553,0.0174998939037323,0.0182113908231258,0.0131594203412533,0.019736010581255,0.0377548113465309,0.023767601698637,0.00689789187163115,0.0125348353758454,0.031980823725462,0.0262290984392166,0.0124623104929924,0.00774401612579823,0.00576659431681037,0.0257473438978195
"CD8 Tcells",0.0159403327852488,0.0185942351818085,0.0392427444458008,0.00724133430048823,0.012066706083715,0.0106525821611285,0.0117695955559611,0.00762578845024109,0.00360857602208853,0.0136139234527946,0.00928833149373531,0.0103194564580917,0.0266625098884106,0.0286164730787277,0.0138216707855463,0.00422290293499827,0.00606211787089705,0.0505520105361938,0.0172125399112701,0.00831273570656776,0.00667908322066069,0.00381451356224716,0.0169013720005751
