"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.582699236702773,0.522475288695206,0.222403611198604,0.234197226346327,0.758877341849449,0.505069421716393,0.542870132884332,0.595666556107284,0.84704450587392,0.497927182526861,0.547071647230707,0.475858277347957,0.478408896818807,0.303268380591509,0.65281509133514,0.516086799457748,0.255915003987536,0.000237583747993606,0.280066342585518,0.680425001445371,0.676981414219979,0.948134654757424,0.513032646570717
"Stromal cells",0.160372619977231,0.195743539697743,0.232764407301515,0.765802757166572,0.184407773568863,0.414636154366944,0.244782343576203,0.261293794383569,0.152955493729625,0.421224678318304,0.25598748013641,0.328995810012977,0.230916003357924,0.43548826576797,0.253894796810161,0.265725448819551,0.683156027346923,0.489051042979901,0.459085061066903,0.245640192787252,0.279211590695593,0.0109358519243422,0.173732584777679
"Macro/mono Lineage",7.44163772914709e-21,1.05102320108917e-20,0,2.75132148094918e-19,-1.48051169463683e-20,-7.71942250199261e-20,-2.41792201338619e-20,-3.12097994823204e-19,2.44006004169514e-19,1.34328843493827e-19,1.77901094276025e-19,1.68600064021923e-19,0.290675099154003,2.1594197464265e-20,0.051280690757273,-3.96687538457414e-20,-9.10591044128567e-20,-2.12055562694925e-24,5.1542001314854e-21,-3.90151043156511e-25,1.23308911359936e-11,1.625430254414e-20,0.0895321479478566
"Bcells",0.232714205387515,0.245671997011673,0.436415088971088,1.40960437227024e-08,0.0567148845485519,0.0802944239166628,0.212347523539466,0.13007077065407,3.96455854795343e-10,0.0808481391548351,0.195574677886413,0.195145912639066,6.69132726139252e-10,0.247708973265089,0.0420094210974262,0.181553891576944,0.0609289686655418,0.510711373272106,0.215566266323226,0.0707105965163296,0.041340745043865,0.0391419954063641,0.175116527836814
"Regulatory CD4 Tcells",0.00928103386126631,0.0135152806014833,0.0240526587609131,-1.03603367453667e-19,-3.4515305561094e-19,-1.22927333736112e-18,2.39142165192612e-21,0.00114608322920357,1.84719443382131e-18,-1.8838049203552e-19,0.00136619474647068,1.43751299778064e-18,2.01734795465423e-19,0.0135343797660435,-1.50641321505193e-19,0.0269339153686007,-1.44743507513111e-19,1.90883422636339e-22,0.0203405251070138,0.00094905876165424,-9.18744284404106e-21,0.0017199716762326,0.00597455636063495
"CD4 Tcells",5.48433314706478e-26,0.00681052788364834,0.0293694257487875,2.39105718751544e-09,3.31358528908347e-11,-2.45747742204624e-28,4.68063793433726e-20,0.0118227956258735,-2.58351028224017e-19,-5.3174866901375e-19,4.16192548115695e-21,-5.19140461407237e-27,1.32963590575323e-13,6.09388187834915e-10,3.67780315122857e-19,0.00969992072843759,-3.8136719508242e-21,-1.45388657771498e-22,0.0157387181933218,-1.04146342985979e-21,0.00246625002822599,6.75262356374225e-05,7.46095863200477e-18
"NK cells",-3.89185712331006e-19,0.002980816918193,4.01450464237159e-20,4.24215818742887e-25,2.79963380268505e-19,-1.51044595613475e-18,1.22817120656746e-20,-4.54819616767152e-19,2.60623015560441e-19,-3.00056628589921e-19,4.79367051810853e-19,1.61970174238324e-19,-1.37622082700157e-20,-6.53761356481584e-19,1.73846027393504e-20,4.79017249515887e-20,4.42798124899031e-20,-5.57171296614761e-20,0.00920308672401834,0.00227515048939265,6.10882624691548e-15,-1.14437134341478e-20,3.4901759604883e-18
"CD8 Tcells",0.0149329040712147,0.0128025491920535,0.0549948080190922,3.16023424744201e-19,-1.46455423490881e-20,1.78962996876541e-18,1.42391462917933e-27,5.00101134517676e-29,-1.6609036675509e-18,8.11093513284394e-26,4.19181304932754e-26,3.96896229636159e-20,3.82387402354079e-19,1.93236352636273e-26,5.48820878246866e-20,2.40487185128292e-08,2.52388843607253e-19,7.51070388582926e-21,-8.95340939904688e-26,-1.16651748095845e-26,-2.13709387419148e-20,6.8659154569628e-23,0.0426115365062984
