"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.163143231059547,0.161962899931021,0.126598768360053,0.192416389159445,0.203988236682299,0.178868051941704,0.162777062695796,0.188955656964493,0.14492906533646,0.180185146904519,0.130613718449947,0.141422200053321,0.206848137652538,0.137434682405104,0.157938719004672,0.159802407435071,0.138701181524107,0.122209229877427,0.180294740701418,0.199301979364364,0.215170593716753,0.224396033601297,0.183899303554631
"Stromal cells",0.248969657028028,0.247124569265159,0.193161726724754,0.294412698460741,0.311772401649857,0.273055424403943,0.248258614232772,0.288564072359196,0.22098480705323,0.275517478411453,0.199150376092154,0.215629359730749,0.318681992041123,0.210024275795762,0.241039419827484,0.243691491193013,0.211731988349757,0.186701644087865,0.275245862690347,0.304739290775764,0.331262808826664,0.344081498953736,0.280625577308848
"Macro/mono Lineage",0.218337421126582,0.216978733042866,0.169663699364261,0.257277209611062,0.27187646337972,0.238888518666326,0.217606570479598,0.25355097257948,0.194070397814207,0.24144390585546,0.174677061123118,0.188075236473507,0.278344235094947,0.183843815936941,0.211713834408467,0.213785390842802,0.18446630589639,0.160898110047563,0.241834498585719,0.266540784122648,0.287574508058639,0.300723253975614,0.246226894590937
"Bcells",0.0390465265806154,0.0427683871727253,0.0589041862910594,0.026392232837312,0.0106202870581727,0.0349086934558241,0.0424528852596794,0.0299569036350136,0.044648243760802,0.033970415947081,0.057155215238361,0.0485864613533631,0.0186610261107705,0.0540301132117112,0.0301783976328849,0.0438115014105063,0.053604564208558,0.0615015639686932,0.0334022735349746,0.0215133092814367,0.0120507592454911,0.013806076858024,0.0272042927452877
"Regulatory CD4 Tcells",0.103910920319151,0.104427766298004,0.142580213470452,0.071449083149775,0.0620933753717194,0.0864886642266356,0.103708525321169,0.0752398012323746,0.124671534530217,0.0846278228100688,0.138395253722778,0.127915790411492,0.0546920296829852,0.130890219194791,0.113626278655505,0.106892577896615,0.129894374218281,0.134606466127125,0.0835656505583986,0.0679896878378166,0.0478644867579949,0.0368689878423323,0.081546282067812
"CD4 Tcells",0.00768432665255146,0.00639111412894316,0.00878714780312111,0.00665838678206019,0.00681740983902622,0.00671462302526806,0.0063795108672202,0.00549682647107892,0.0168266111145467,0.00521720939069018,0.008568191452132,0.0094370426051544,0.00486472912447532,0.00812457303103451,0.0119173248042306,0.00659989655421229,0.00805023864827529,0,0.00661461090146436,0.00341491153484473,0.0089288337894595,0.00225179512179852,0.00801139342725424
"Proliferative Tcells",0.0194878989061546,0.019533181264917,0.0265413908576525,0.0137873090000052,0.0135398776578689,0.0164988336611715,0.0193786116183941,0.0143023046304088,0.0238705236558928,0.0160377365547773,0.0257237213459236,0.0238130644226254,0.0109557991467538,0.0243222235476423,0.0194219452486707,0.0199132978555576,0.0241271337652323,0.0234111672147247,0.0155815732591653,0.0121931313697817,0.00772768896287051,0.0072549568320337,0.0137300560516283
"NK cells",0.0744812504939221,0.0747196909821145,0.10161526620452,0.0500996550179984,0.044016179175477,0.0599765227269401,0.0742094699890035,0.0544617614951042,0.0884813340844751,0.0612080414523991,0.0986126677028498,0.0913036481051655,0.0407103461709944,0.0932852200502529,0.0759947863114929,0.0764141211287758,0.0925751523785304,0.0916325349353651,0.0580179175840073,0.0435660463105236,0.02999175715393,0.0256068587066429,0.0458402051488713
"CD8 Tcells",0.124938767833448,0.126093657914249,0.172147600924127,0.0875070359816011,0.0752757691858596,0.104600667892187,0.125228749536368,0.0894717006328505,0.141517482650169,0.101792242673551,0.167103794872737,0.153817196844623,0.066241704975413,0.158044876826761,0.138169294106593,0.129089315683447,0.156849061010869,0.219039283741237,0.105442872184506,0.0807408594028203,0.0594285634881982,0.0450105381085223,0.112915995104729
