"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0,0.0330374485212238,0.0889139904167091,0,0.0148816893626843,0.0432376215911411,0.0603459737885001,0.209064263539426,0.136899600498901,0,0.0321382826043221,0.00783172574910498,0,0,0.0246332780268523,0.145045871460571,0,0.112273416124973,0.259964215778638,0.328981456748086,0.270990125357929,0.342934244633181,0.132928879422418
"Stromal cells",0.144324874474255,0.219198780680223,0.199578915374897,0.7361921620734,0.134113632650721,0.259480156628868,0.122517096254024,0.117928600468295,0.0230088254218062,0.234339046161106,0.130957826860998,0.170737541189806,0.185886942773234,0.244501433982443,0.315275514460211,0.10689373823239,0.390511138059269,0.265692562287073,0.215366925402793,0.166529027760561,0.0677484632572299,0.0345200170644805,0.227474139580112
"Macro/mono Lineage",0.0157882340918038,0.0258780038661501,0.0455098312562632,0.0314045038971382,0.0253091674095313,0.0252305289939507,0.00718737715156127,0,0,0.0191336384732432,0.00636160593834051,0.0231919145000652,0.0561017872313412,0.0500309991610687,0.0814063792136257,0.0165090857114155,0,0.0654097122595982,0.00521807737670643,0,0,0,0.119348316627777
"Bcells",0.20442597866726,0,0,0,0.108920416333687,0.0120830605246534,0.180716882239353,0.254823727240317,0.224228033323829,0.103548561084726,0.286784607350709,0.176746287692458,0,0.308211644910305,0.0363033600005196,0.151219771723922,0.362213536055781,0,0.0263138689198829,0,0,0,0
"Regulatory CD4 Tcells",0,0.0502906851120806,0.248591262387035,0,0,0,0,0,0,0,0,0,0,0,0,0.120843409622564,0,0.253132282512721,0.0581989350322106,0.126983341422654,0.207182122255694,0.277742310820887,0.305370822985028
"CD4 Tcells",0.229960823205822,0.123702478383178,0,0,0.38820909957138,0.0871030176790223,0.186283367490719,0,0.291265774428707,0.20569153606824,0.13556337729102,0.173769714902608,0.485277699534595,0,0.213534888415793,0,0.15612642311776,0,0,0,0,0,0
"Proliferative Tcells",0.405500089560859,0.547892603437144,0.417406000565096,0.232403334029462,0.328565994671997,0.572865614582365,0.442949303075843,0.418183408751962,0.324597766326757,0.437287218212684,0.40819429995461,0.447722815965959,0.27273357046083,0.397255921946184,0.328846579882999,0.459488123249138,0.0911489027671904,0.177477096121268,0.400297563388449,0.36802526331197,0.454079289129147,0.319221238129138,0.214877841384665
"NK cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346404141013197,0.00948091075672918,0,0.0255821893523129,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126014930694366,0,0,0,0,0
