"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.67764926,0.64513016,0.19929646,0.20932038,0.85547143,0.5867246,0.6379222,0.63103276,0.88402414,0.48982748,0.5722012,0.6107574,0.5461443,0.25677112,0.49487913,0.7160825,0.1453668,0.3217593,0.41095877,0.6270445,0.86141706,0.919323,0.6624138
"Stromal cells",0.21315767,0.262884,0.7243981,0.7587976,0.09374233,0.36184546,0.32201278,0.32505992,0.07251438,0.43811855,0.31986934,0.2866307,0.33320713,0.64837074,0.44823825,0.24389501,0.81467205,0.5535974,0.53786665,0.3400576,0.086930074,0.047371477,0.21786404
"Macro/mono Lineage",0.0031977135,0.0018480335,0.003514452,0.0018399069,0.0011742454,0.0015064097,0.0015157778,0.0010590121,0.00067383697,0.0026989598,0.0029391611,0.0022224209,0.0065891966,0.0039931764,0.001752592,0.0016798772,0.0007668044,0.009719611,0.0025397658,0.001506334,0.0014533583,0.0011262143,0.01567164
"Bcells",0.0024836974,0.0014899258,0.0024871193,0.0016070238,0.0020029834,0.0027318888,0.0019360265,0.0026873413,0.0012308726,0.0022898347,0.0046938458,0.0042457297,0.0024993478,0.004511284,0.001069493,0.0024284518,0.0026306314,0.009293441,0.0024462529,0.001411329,0.0018869201,0.0011323857,0.0037644252
"Regulatory CD4 Tcells",0.0009036401,0.00053896586,0.00067879097,0.0005338635,0.00074403017,0.00069122994,0.0002865219,0.00040149895,0.00028638096,0.0005491637,0.0008036348,0.00094199553,0.0005686536,0.00075546326,0.0003327376,0.00048979296,0.00029824377,0.005960868,0.0009355881,0.00074398797,0.000767885,0.0005745266,0.002178104
"CD4 Tcells",0.00020665144,9.833526e-05,0.00013375936,0.00015486966,0.00013443544,0.000118652795,7.8833385e-05,0.000104238185,6.623228e-05,0.00015575594,0.00021360592,0.00015985605,0.00020672598,0.00020699779,8.054221e-05,0.00010156864,7.2702496e-05,0.0013224008,0.0001808381,0.0001346469,0.00016614968,8.118848e-05,0.0006088864
"Proliferative Tcells",0.09856162,0.08526919,0.06705949,0.025535509,0.044176236,0.04394911,0.03499409,0.037860867,0.039746646,0.0641899,0.096387394,0.09183901,0.10783268,0.08284912,0.051751252,0.03338546,0.035022624,0.0785198,0.04196845,0.026337534,0.04464438,0.028286517,0.09012008
"NK cells",0.0018612999,0.0010809127,0.0014023343,0.00097616785,0.0015056013,0.00101172,0.0006177623,0.00089166785,0.00086473464,0.001176404,0.0016435265,0.0018831968,0.0019277483,0.0014294158,0.00086332066,0.0010205092,0.0005268848,0.009938636,0.0018045162,0.0013824833,0.0014243745,0.0012914493,0.0044256537
"CD8 Tcells",0.001978414,0.001660436,0.0010294779,0.001234694,0.0010487585,0.0014209653,0.00063592923,0.00090265524,0.00059274497,0.0009939569,0.001248347,0.0013197218,0.0010241979,0.0011126884,0.0010326321,0.00091690663,0.0006432526,0.009888571,0.0012991847,0.0013815435,0.0013097945,0.0008131456,0.0029533475
