"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.7366329,0.707684,0.31537214,0.31874922,0.82925564,0.6754443,0.668977,0.66437685,0.8863943,0.5906579,0.6524952,0.6849367,0.59793395,0.3825386,0.5721491,0.7501523,0.24739416,0.42788133,0.48455465,0.6236965,0.849209,0.89046913,0.69452906
"Stromal cells",0.2537911,0.2852482,0.67682034,0.67582035,0.16365285,0.3190591,0.3279731,0.33153474,0.110209435,0.40427914,0.33807555,0.30513588,0.39248934,0.60743266,0.4231234,0.2450472,0.7491825,0.5128756,0.5081703,0.3712306,0.14335395,0.102632195,0.27584347
"Macro/mono Lineage",0.001982109,0.0012518702,0.002917639,0.001908637,0.00071559753,0.0007646862,0.00043380784,0.00040391894,0.0003516057,0.0012126119,0.0017124396,0.0016071661,0.0036099711,0.003625566,0.0012659435,0.0007353052,0.0007159584,0.019815085,0.0018340104,0.00068859756,0.00079466664,0.0008653001,0.014118471
"Bcells",0.0019764456,0.0013256968,0.0017394396,0.0010745649,0.0014738819,0.001765343,0.0010426705,0.0015915834,0.0010835611,0.0014219921,0.0029286707,0.0031526156,0.0020004595,0.0030793136,0.0009971907,0.0016289001,0.0014073168,0.016016288,0.002156183,0.0010864569,0.0018990341,0.0013437173,0.0043057743
"Regulatory CD4 Tcells",0.0015281328,0.0009554567,0.00092505774,0.00063133636,0.0012751613,0.0008981966,0.00038843218,0.00062887656,0.00052823644,0.0005917435,0.0011256757,0.0013012859,0.0008676876,0.001185266,0.00045034973,0.0006093553,0.00041342177,0.005487532,0.0012947024,0.0008714976,0.0014692467,0.0011717653,0.0026625078
"CD4 Tcells",3.3701705e-05,1.2816982e-05,2.3199862e-05,3.8689977e-05,2.658845e-05,1.7808085e-05,7.955641e-06,1.3767688e-05,1.263988e-05,2.3335308e-05,3.0701893e-05,3.0319743e-05,3.1479554e-05,4.209083e-05,1.3098048e-05,1.5724121e-05,1.5980697e-05,0.00070193456,5.102085e-05,2.5210926e-05,4.1932955e-05,1.6133423e-05,0.00015383016
"NK cells",0.0008476258,0.0005189054,0.00064464327,0.0004277462,0.00060590665,0.0004040141,0.00023696343,0.00032993077,0.0003361353,0.00048266255,0.00082334294,0.0009987406,0.0008327228,0.0005259863,0.00043593918,0.00038836387,0.00021371919,0.007235791,0.00072849303,0.00051847886,0.0009314105,0.0006519889,0.0022507969
"CD8 Tcells",0.0032079807,0.0030030375,0.0015575811,0.001349389,0.0029943448,0.0016464685,0.0009399859,0.0011203054,0.0010840822,0.0013305672,0.0028083406,0.0028372647,0.0022344613,0.0015705185,0.0015650452,0.0014228319,0.0006568306,0.009986289,0.0012106196,0.001882581,0.0023007337,0.0028497183,0.006136188
