"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Bcells",0.0778041117235153,0.0376885244031513,0.0134786867325015,0.0622686975985585,0.132320746336045,0.0940415953645285,0.127372818922843,0.172038425286824,0.237957887270836,0.0708401376041766,0.126684132847831,0.101249392303729,0.0223862820773228,0.0652396234400616,0.139220496005989,0.109127723364997,0.231519115120412,0.0344711051445295,0.0784481869125281,0.12603990573223,0.0223811566241883,0.00878991568368004,0
"Cancer cells",0.13673626666311,0.145073188129572,0.0487224617949389,0.0373910360477016,0.158790545038787,0.153927397883309,0.111648279355402,0.241062886639644,0.267285410572918,0.0834074812425658,0.0973038419624914,0.144624784097833,0.0810170071997538,0.0013092653520245,0.101700113382745,0.205708864054561,0,0.156123470051672,0.231420782522468,0.29012252853779,0.359353312720516,0.41093393642889,0.0388159814249422
"CD4 Tcells",0.211446417148263,0,0,0,0.0534202247187899,0,0.262111763802024,0,0.366313707698327,0.197454318628134,0.324872913749921,0.0209261851210494,0.187483857416503,0.265849485390754,0.0524985008619623,0.225661588713928,0.301581476006582,0,0.151255733466803,0.0512823478057396,0.0896228785083495,0.165007984035639,0.026908686633945
"CD8 Tcells",0.160006585080748,0.13403236813353,0.453505756686733,0.0608158999720019,0.0196112472078573,0.0978282546139701,0.0502459046240572,0.0935762513405213,0,0.126008077613581,0.0530237357288476,0.0687403788179923,0.0903455687370045,0.173623352315979,0.036524934806405,0.0663141586264296,0,0.112409189788122,0.0420996989920272,0.110629059730184,0.132812816029717,0,0.122762776948683
"Macro/mono Lineage",0.0845837568255506,0.102383864546064,0.209634917227667,0.0988188065677517,0.165497436760251,0.179304055989171,0.0897741063513133,0.0996665843071055,0.115251951200624,0.0783092837610886,0.118754407239644,0.0973361521571628,0.165496559150042,0.161645312541274,0.23691833060098,0.109558855931196,0.0713533593655458,0.0874962614613203,0.160286294325083,0.167240348320315,0.0875703966359376,0.177311372927681,0.34151921177515
"NK cells",0.0806711071994987,0.145134674811379,0.160388762906208,0.1270936421236,0.140015969627432,0.112959065226439,0.0793949904355148,0.120652801675567,0.013191043257295,0.0405968145784967,0.0911779838466428,0.149557972741127,0.100867983513814,0,0.0901950671779803,0.0798629447854074,0.0209664651341156,0.148425492851522,0.126536074221067,0.0714321108063907,0.0213197730831783,0.113659068287258,0
"Regulatory CD4 Tcells",0.0570467108778195,0.151047500269561,0.0526483717086683,0.0886283603215181,0.131774236727908,0.111605427552187,0.0859044074448258,0.0528042348666652,0,0.146996316703982,0.048611927905793,0.183415351843695,0.120631992599387,0.128566969598379,0.0616568028602667,0.0961504368475613,0,0,0.0415812251810007,0.0379363587933483,0.234826091757689,0.091245343867505,0.46999334321728
"Stromal cells",0.191705044481495,0.284639879706743,0.0616210429432828,0.524983557368868,0.198569593582931,0.250334203370396,0.193547729064021,0.220198815883673,0,0.256387569867975,0.139571056718829,0.234149782917411,0.231770749306174,0.203765991361529,0.281285754303672,0.107615427675919,0.374579584373344,0.461074480702834,0.168372004379023,0.145317340274002,0.0521135746404239,0.0330523787693466,0
