"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.186846681922729,0.187675564051869,0.136280897340382,0.223242592402642,0.225215415159452,0.1881705232715,0.174693837247212,0.214928378194463,0.169598792913527,0.200683694228177,0.147304518417157,0.15860048653889,0.222478395878348,0.150419648949234,0.17520281609198,0.176042296776923,0.151686680341624,0.132779565633407,0.198781570552553,0.218640352524154,0.236419150039965,0.239717372579281,0.208469267265777
"Stromal cells",0.280778960277867,0.282006025072957,0.204720532620597,0.336885656327209,0.339000475315059,0.28277852318204,0.262337215895703,0.323336675125928,0.254643287682334,0.302112332403507,0.221158879876524,0.238133544731545,0.335507587476731,0.226271023159312,0.263269665205221,0.26433895350209,0.227989387723573,0.19984088861264,0.29882896516162,0.329123984426349,0.356767975445057,0.360210604130457,0.313351526817039
"Macro/mono Lineage",0.245710509122099,0.247079043707155,0.179361894481705,0.29420311827857,0.295538369819529,0.246907163976271,0.229392179835812,0.283687828224745,0.223095844426963,0.264316718246937,0.193493974336993,0.207265878062337,0.294700212843616,0.197615396824823,0.230707124385002,0.231351807892289,0.198224269983289,0.172073340932032,0.261993686828169,0.287579807866883,0.312132809826185,0.317033224132262,0.274502756560485
"Bcells",0.0343216609862771,0.0365863855843897,0.0624496861790524,0.0161962798008212,0.00637670919404486,0.0367278602666574,0.0431377379530603,0.0220368280626163,0.0412946407773761,0.0296541237411314,0.0569868476339958,0.0478185695963983,0.0154933610185566,0.0553636266141546,0.0295090070197078,0.0424284846740267,0.0548882929137893,0.0680648960247266,0.0301773641958033,0.0172929776257984,0.00719764714059254,0.00965761729129161,0.0216392639843261
"Regulatory CD4 Tcells",0.0786419609107549,0.0771142359327029,0.13056683554023,0.0397099489571091,0.0397900482715947,0.0768701010653277,0.0908817549413744,0.0486113829371711,0.0971877252827234,0.0634195730760772,0.11926139656535,0.108676340520773,0.0403189004955974,0.115902328030463,0.0945497619644762,0.0894437137249587,0.114930089121839,0.117765947929138,0.0648424716724647,0.0477250255790132,0.0263050922573741,0.0223842364125031,0.0563833399982325
"CD4 Tcells",0.0100764760040834,0.00874986064315839,0.0148605993806661,0.00658866332733236,0.00949004358847651,0.00973202170044667,0.0103307794333774,0.006446991947959,0.0186575258224056,0.00735317675678427,0.0135715472408499,0.0137932663846123,0.00665766071555314,0.0131992118302459,0.0139205672450729,0.0101639926811447,0.013070783594607,0,0.00831627431971287,0.00437305386880248,0.00637223569500655,0.00353303396579081,0.00743271441627975
"NK cells",0.0606725151658901,0.059442755367481,0.100443724197187,0.0306672643766083,0.0309611352635799,0.0562691258190936,0.0701457001730142,0.0382802062352214,0.0731246572462035,0.0494332127242796,0.0917711995124748,0.0837685501381652,0.0327176703970246,0.0892011268623461,0.0692325997619489,0.0690529605248861,0.0884574221853966,0.0881015440702458,0.0482717953188594,0.033030345255064,0.0185662337192102,0.0178652609317951,0.0353957885290457
"CD8 Tcells",0.1029512356103,0.101346129640287,0.171315830260181,0.0525064765297088,0.0536278033882648,0.102544680718664,0.119080794520447,0.0626717092718957,0.122397525848467,0.0830271688231056,0.156451636416656,0.14194336402728,0.0521262111745735,0.152027637729421,0.123608458326591,0.117177790223682,0.150753074135882,0.221373816797811,0.0887878719508185,0.0622344528539361,0.0362388558766093,0.0295986505566187,0.0828253424288157
