"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0,0,0.0231343293755153,0,0,0.0181042566217527,0,0.0505948832791609,0,0,0,0,0,0,0,0,0,0.00192142425934964,0.0720165301988684,0.0942022069908807,0.102159355502838,0.122279550215517,0.0115236798343058
"Stromal cells",0.376874330292549,0.564247302593671,0.371854837355461,0.525095667315872,0.342628945172388,0.417554289584469,0.390077623618189,0.479848559585266,0.344780980668978,0.338600460517289,0.302816414723481,0.413663559816351,0.383229402248411,0.480375927705835,0.461053280774285,0.310710078505497,0.3895873868816,0.485436866802855,0.507916614190294,0.410629318787436,0.329556710531274,0.308543893162722,0.395226504530514
"Macro/mono Lineage",0,0,0.0253374063616668,0,0,0,0,0,0,0,0,0,0.0183283781182516,0,0.000818880113851884,0,0,0,0,0,0,0.0223228744522507,0.0642052751808464
"Bcells",0,0,0.00259551394390511,0,0.0110106990172791,0,0.00576357293401155,0,0.0124834703947578,0,0.0592283518390738,0,0,0,0,0,0,0,0,0,0,0,0
"Regulatory CD4 Tcells",0.115893613805135,0.116520943398892,0.221185809890291,0.125491484939026,0.110702259017747,0.139196367841872,0.109332160211992,0.130401328521485,0.112249379592433,0.142138595657945,0.108279380704822,0.148464211200549,0.10769810108958,0.110295305535001,0.113449244503914,0.15478478835372,0.102742504126179,0.00234751945233642,0.0237442271275315,0.00720986851667946,0.0601824630497284,0.0126506295977296,0.267302886856567
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0,0,0.0656349121557245,0,0,0.0022307842736205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625232646947714,0.0285512195610632,0
"NK cells",0.507232055902317,0.319231754007437,0,0.233342736802871,0.535658096792585,0.231275283689838,0.494826643235807,0.339155228614087,0.530486169343832,0.519260943824766,0.529675852732623,0.4378722289831,0.490744118543758,0.409328766759164,0.42467859460795,0.534505133140784,0.507670108992222,0,0,0,0,0,0
"CD8 Tcells",0,0,0.290257190917437,0.11607011094223,0,0.191639017988448,0,0,0,0,0,0,0,0,0,0,0,0.510294189485459,0.396322628483306,0.487958605705004,0.445578206221388,0.505651833010717,0.261741653597766
