"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.862366557121277,0.827166080474854,0.184541031718254,0.0288969613611698,0.882883191108704,0.904379844665527,0.896167099475861,0.926427662372589,0.951091587543488,0.877265274524689,0.88615208864212,0.892492473125458,0.48357743024826,0.246415734291077,0.667723953723907,0.959943652153015,0.0346741937100887,0.152398988604546,0.689562141895294,0.911008477210999,0.914670825004578,0.963786423206329,0.611548781394958
"Stromal cells",0.038526713848114,0.0523583367466927,0.252691149711609,0.916470229625702,0.0247031599283218,0.0256392043083906,0.0264476779848337,0.0151517456397414,0.00557474512606859,0.0421328917145729,0.0256102625280619,0.0221039727330208,0.217881232500076,0.504551529884338,0.184611812233925,0.00690967589616776,0.890757083892822,0.558947801589966,0.114245146512985,0.0160129964351654,0.0102246776223183,0.00328737962990999,0.0639728382229805
"Macro/mono Lineage",0.0116953458636999,0.0134890535846353,0.159179180860519,0.00730476947501302,0.00817831046879292,0.00824270118027925,0.00809766165912151,0.00596731901168823,0.00390196894295514,0.00948409736156464,0.00754230888560414,0.00824839062988758,0.141834035515785,0.0345672927796841,0.0278553161770105,0.0036696121096611,0.00740399630740285,0.0399464033544064,0.0198545269668102,0.00839398801326752,0.0110491560772061,0.00439509376883507,0.162509948015213
"Bcells",0.00925542507320642,0.00990810804069042,0.0425698459148407,0.00711611844599247,0.0105930967256427,0.00702998600900173,0.00908820610493422,0.00570256588980556,0.00543909007683396,0.00754297897219658,0.0125690754503012,0.00901990383863449,0.0165527313947678,0.0291209276765585,0.0145956324413419,0.0038517580833286,0.0116110993549228,0.0470929183065891,0.0236806180328131,0.00915391650050879,0.00650464138016105,0.00370313716121018,0.0231931861490011
"Regulatory CD4 Tcells",0.00805785320699215,0.010017853230238,0.0206207353621721,0.00735222361981869,0.00609840964898467,0.00684944121167064,0.00650251656770706,0.0048207975924015,0.00245516956783831,0.00777159025892615,0.00727263698354363,0.00741530442610383,0.0178025383502245,0.0233032628893852,0.0117009505629539,0.00298003782518208,0.00653196591883898,0.0371211841702461,0.0115588400512934,0.00613476289436221,0.00522385817021132,0.00324903079308569,0.0175792761147022
"CD4 Tcells",0.00794642884284258,0.00940983928740025,0.0264367610216141,0.00656361365690827,0.0179092846810818,0.00868252571672201,0.00668583903461695,0.00816928781569004,0.0105041610077024,0.00701902527362108,0.0136372409760952,0.0115306377410889,0.0294949803501368,0.0213942416012287,0.0209496319293976,0.00452596507966518,0.0150691382586956,0.0134928971529007,0.0423008948564529,0.00917443726211786,0.00780231365934014,0.00363493897020817,0.0306619182229042
"Proliferative Tcells",0.03464500233531,0.0468296892940998,0.23632737994194,0.0118518471717834,0.0257308520376682,0.020141588523984,0.0241083893924952,0.0167717821896076,0.0118718929588795,0.0284029468894005,0.0272729620337486,0.0280510541051626,0.0561330057680607,0.0889358222484589,0.0493494011461735,0.00968005508184433,0.0186583586037159,0.0692946761846542,0.0606812611222267,0.0229822993278503,0.02632025629282,0.010197414085269,0.0554438047111034
"NK cells",0.00978195760399103,0.00950582604855299,0.0296560227870941,0.00647691171616316,0.00709404330700636,0.00753394700586796,0.00878509320318699,0.00630502635613084,0.00405184738337994,0.00750807020813227,0.0090056462213397,0.00874922517687082,0.0206233784556389,0.0184341948479414,0.010982858017087,0.00369447655975819,0.00801054667681456,0.0313255414366722,0.0128176240250468,0.0075064105913043,0.00599452573806047,0.00333024212159216,0.0150498989969492
"CD8 Tcells",0.0177247077226639,0.0213152598589659,0.0479779355227947,0.00796725880354643,0.016809681430459,0.0115006575360894,0.0141175296157598,0.0106838569045067,0.00510946195572615,0.0128731289878488,0.0109378378838301,0.0123890982940793,0.0161008257418871,0.0332769080996513,0.0122304204851389,0.00474479515105486,0.00728353392332792,0.0503795593976974,0.0252989456057549,0.00963278952986002,0.0122097553685308,0.00441629067063332,0.0200403556227684
